#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          4646.226370443164    All      1.0182790113064852        0.397678486474895         0.5415866339181414         -0.17798148403413838       
Zeropoint     AB|DECam|DECam_z          5444.693965127767    All      1.654124120490058         0.18504239869141514       -0.1817639740414915        -0.4866395394926148        
Zeropoint     AB|DECam|DECam_r          3824.447780366713    All      -1.6751024817083993       0.4159453454148476        -0.362791738957476         0.6649333416567013         
Check         All|All|All               All                  All      0.9973006500881438        0.9986662305811578        -0.0029690790808260537     0.00031231812994814145     
Lambda        AB|DECam|DECam_i          4646.226370443164    All      -0.0002700174709359345    -9.863458500067077e-05    -0.0006941466634546086     2.484846678891934e-05      
Lambda        AB|DECam|DECam_z          5444.693965127767    All      0.00013889684960729837    1.4504212342279763e-05    -5.1386848147966504e-05    -4.2811933375013035e-05    
Lambda        AB|DECam|DECam_r          3824.447780366713    All      -0.0021153122341159456    0.00044511186460908635    -0.0016798134382941551     0.0007590520057585449      
MWEBV         All|All|All               All                  All      -0.0981251815162143       -1.972296383647354        0.030238687663355544       -0.6091298051860782        
Redshift      All|All|All               All                  All      2.2868434917920455        0.14095064132106927       1.044790530568605          -0.6523636963462793        
