#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4535.913498205179    All      -0.373032014508646         0.6408311637994046         0.3527320232459376         0.3459894024406333        
Zeropoint     AB|SDSS|SDSS_i            7187.624038769689    All      0.5171136505564035         0.004163289853753582       0.6418693253340716         -0.13844112805598766      
Zeropoint     AB|SDSS|SDSS_z            8545.485831441527    All      0.20754010543998327        -0.02416054237244225       -0.038883247913808455      -0.07720770448749749      
Zeropoint     AB|SDSS|SDSS_u            3449.501204718889    All      -0.28801267180897305       0.1746368972081136         -0.11888531652220749       0.14539487969170822       
Zeropoint     AB|SDSS|SDSS_r            5927.082960967719    All      0.9307281050164128         0.2041244274662013         -0.8349387445374119        -0.27393820376281336      
Check         All|All|All               All                  All      0.9943371746951805         0.9995952359550309         0.0018940396065812992      0.0017972458260430146     
Lambda        AB|SDSS|SDSS_g            4535.913498205179    All      9.248066011106226e-06      -8.229425541902185e-05     -0.00034228724835035757    -4.509305356811957e-05    
Lambda        AB|SDSS|SDSS_i            7187.624038769689    All      -0.0002499862201865504     -2.4702231144206606e-06    -0.0003024141867354052     6.712874706494438e-05     
Lambda        AB|SDSS|SDSS_z            8545.485831441527    All      -5.880282530518209e-05     3.94071927929155e-06       -5.399317789632604e-05     1.802816912465048e-05     
Lambda        AB|SDSS|SDSS_u            3449.501204718889    All      -0.00021300809347452298    6.440601767170399e-05      -0.0007405412050196432     5.7315949856200593e-05    
Lambda        AB|SDSS|SDSS_r            5927.082960967719    All      -7.447107643282718e-05     -1.3535298265027e-05       0.0002994003160599855      3.3209648686650876e-05    
MWEBV         All|All|All               All                  All      -0.9637011903133761        -3.7728138795106503        0.12221320706160833        -0.9095666058077635       
Redshift      All|All|All               All                  All      3.756963304735842          0.22056516761752576        -0.77361252517921          -1.1864439912273186       
