#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4535.913498205179    All      -0.7081791387214951        0.9151746115840353        0.732057114567719          0.5614480700329993         
Zeropoint     AB|SDSS|SDSS_i            7187.624038769689    All      0.7014627998268749         -0.06683581072479683      1.1760119439405248         -0.19778012189961558       
Zeropoint     AB|SDSS|SDSS_z            8545.485831441527    All      0.30877808375484067        -0.08481461286997671      -0.1356068926295695        -0.13425760290393107       
Zeropoint     AB|SDSS|SDSS_u            3449.501204718889    All      -0.2133150975829974        0.12065485653955932       -0.2526683382639394        0.09750957386983616        
Zeropoint     AB|SDSS|SDSS_r            5927.082960967719    All      0.8917860515806183         0.11774843494887222       -1.572562829423585         -0.3223057733754975        
Check         All|All|All               All                  All      0.9805326988578413         1.0019274794776933        -0.052769001808850025      0.004614145723791374       
Lambda        AB|SDSS|SDSS_g            4535.913498205179    All      -0.0004407805878968667     0.000512316317386116      -1.6140812831648355e-06    0.0003103829889730258      
Lambda        AB|SDSS|SDSS_i            7187.624038769689    All      -0.00024356013524273555    1.5023358980343108e-05    -0.00045609619657719605    6.38756727335514e-05       
Lambda        AB|SDSS|SDSS_z            8545.485831441527    All      -4.8384987132413804e-05    1.1714850337982306e-05    -5.2242641417294236e-05    1.724514514535075e-05      
Lambda        AB|SDSS|SDSS_u            3449.501204718889    All      -0.00018963676495591922    0.00011595861093858218    -0.00010303149836040616    9.49446451528097e-05       
Lambda        AB|SDSS|SDSS_r            5927.082960967719    All      0.00046404829469323325     5.230118357625175e-05     1.2498029233395999e-05     -0.00013356185052508347    
MWEBV         All|All|All               All                  All      -0.7979914778425372        -3.9003323182488003       -0.00763585712661996       -1.0108752289357037        
Redshift      All|All|All               All                  All      1.6666193790449801         -3.571749649603184        -10.584229709392634        -2.1786346901742526        
