#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5245.53128055226      All      -0.008292436626447682      0.01166096401687966       -0.16172876975808492       -0.000717733164016382     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7698.915639174632     All      0.27350188314269996        -0.0909708737305337       0.23421845608484482        -0.10826867374254395      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4283.015362532733     All      -0.4912868417710923        0.33751934839179043       0.29557473776620213        0.28315958607063596       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6170.394728401382     All      0.5704603653058468         -0.20758194311891742      0.4610871976189923         -0.23285777275275643      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7649.548021309301     All      0.021483853469673908       0.0005158318061582179     -0.024603684462931596      -0.007927923920175023     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   7968.798233537795     All      0.1467104646853586         -0.08405084275961983      0.1509113908523929         -0.06843206739355068      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5215.742842756638     All      0.06024286302857973        0.4200057172533356        -0.11531988417634587       0.11204040068162752       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4257.8681682151155    All      -0.5240617502677777        0.2421044319841137        -0.033643778692082904      0.24806416435539935       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4272.384809709837     All      -0.05277501677283229       0.000210532540556585      -0.13740525377246016       0.011127371187805157      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6226.44039365575      All      0.7599005483550504         -0.025597284375766804     -0.08728676633813492       -0.2597576937195901       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5248.128817115369     All      0.0892299175149599         0.41827260448270565       -0.4092451231294092        0.08891729807785562       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6376.2810701288845    All      0.1495499773860507         -0.031075274938618946     -0.18914870819424223       -0.06727642519455401      
Check         All|All|All                                      All                   All      0.99466382745007           0.9910132115520831        -0.016590186201259627      -0.001929469513862997     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5245.53128055226      All      -1.822122527333879e-05     1.587795876406937e-05     -0.00019073198624513555    2.595733525024296e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7698.915639174632     All      -7.975757200595214e-05     3.331558032206432e-05     -7.894219493573963e-05     3.330881811785672e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4283.015362532733     All      -0.000258008015377342      0.0001689421436197008     3.9965804273199154e-05     0.00014085520331676583    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6170.394728401382     All      -0.00012381333457384442    4.5764539230367834e-05    -0.0001538455231426927     4.837167333344083e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7649.548021309301     All      -3.5524823820143497e-06    2.9258327200483195e-07    -2.279990473282516e-06     1.150718879211556e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   7968.798233537795     All      -9.819621315055196e-06     1.5577559099649287e-06    -1.6374216422006356e-05    2.9752799919235358e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5215.742842756638     All      -6.817167559341286e-05     0.00020958773085985572    -0.000729819595514918      5.790688008720678e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4257.8681682151155    All      -0.0003619873173170943     4.9680407073870806e-05    -0.0002520667909353493     0.00012284513812144048    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4272.384809709837     All      -5.803960459295088e-05     -5.531782747349752e-06    -0.00013777039997746256    1.0955464836706437e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6226.44039365575      All      -0.0001449864272124244     -6.967482681992947e-08    4.138929540623565e-06      4.738885528751463e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5248.128817115369     All      1.2212220321245756e-05     9.117289109546337e-05     -0.001026888496148982      -2.010522905478597e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6376.2810701288845    All      -4.1064877123665575e-05    1.2050907260100665e-05    -8.025274691693244e-06     1.6943427280457415e-05    
MWEBV         All|All|All                                      All                   All      -0.7963845270808454        -3.974600495924907        0.05036043626382991        -1.0330021462788004       
Redshift      All|All|All                                      All                   All      6.908137947190941          -2.182989946630709        7.852482308072517          -2.6108592239790602       
