#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5245.53128055226      All      0.00562813627211689        0.015484183792580097      -0.08550710828338565       -0.0006053505909969471    
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7698.915639174632     All      0.2349750654667593         -0.06366579422278917      0.21990946679222942        -0.08746360349804985      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4283.015362532733     All      -0.34637978487984267       0.30257109531293125       0.11919896643731027        0.21670395393963696       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6170.394728401382     All      0.44027042812256806        -0.05642696713623607      -0.14255469842195106       -0.16815224395524803      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7649.548021309301     All      0.04179183011828705        -0.016017367903575774     -0.03891513660332834       -0.020566961477693425     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   7968.798233537795     All      0.1324756010923912         -0.054211520954350334     0.06161604726199003        -0.05806049627747521      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5215.742842756638     All      0.07929972535402702        0.392209199517346         -0.21204379787335198       0.09246236933376865       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4257.8681682151155    All      -0.5784992353986389        0.2469127956437056        0.06973648428326212        0.2719758727651959        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4272.384809709837     All      -0.11718166978766854       0.018227505025603108      -0.10534510926836452       0.0394061546721517        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6226.44039365575      All      0.7093632808128081         -0.07512790080204113      0.21358307933036078        -0.24600335496631587      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5248.128817115369     All      0.14039782074898036        0.39634503122671916       -0.13386762000396454       0.07739652981667611       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6376.2810701288845    All      0.2543000493871551         -0.1122101324177116       0.03653479763223417        -0.11775404382060282      
Check         All|All|All                                      All                   All      0.9964412473089428         0.9940901270821811        0.002345371283040694       -0.0006611740589528153    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5245.53128055226      All      -1.300466061008739e-05     1.7967976201252385e-05    -0.00020348248085086892    1.0083182197950269e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7698.915639174632     All      -6.575486962879253e-05     1.7855126577424155e-05    -5.381467070027629e-05     2.483302486002568e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4283.015362532733     All      -0.0001700413618757865     0.00012910379210465933    -0.00019742890708299705    8.863107286973135e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6170.394728401382     All      -0.00013529097885687879    7.701438459201134e-06     -0.0002122454528305149     3.7105794878924886e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7649.548021309301     All      -8.89556733729663e-06      2.6649910157478094e-06    2.385306313607843e-06      3.872099452120102e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   7968.798233537795     All      -1.3102862315193827e-05    4.175099534427517e-06     -4.0990935795454824e-05    3.798763402489913e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5215.742842756638     All      -8.280854551344073e-05     0.0001447849742130978     -0.0010664151485848177     2.6545486765608633e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4257.8681682151155    All      -0.0003113434724293381     6.913483412759025e-05     -7.272356089835944e-05     0.00012068898329441469    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4272.384809709837     All      -8.055533582234417e-05     1.659437128499916e-05     -8.529285236613366e-05     2.7838627470092185e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6226.44039365575      All      -0.00021718077459492827    4.8632507916597024e-05    -0.00036834373450470834    7.014664198188282e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5248.128817115369     All      -4.345829966697989e-05     0.00012083892422372378    -0.0009274882073576782     1.2127472144202523e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6376.2810701288845    All      -7.805143804788807e-05     3.2528217428180763e-05    -0.00012626190644064554    3.0384942766677655e-05    
MWEBV         All|All|All                                      All                   All      -0.8012443700571361        -3.9642149923328596       0.03270778606412297        -1.0288239920472113       
Redshift      All|All|All                                      All                   All      6.9628973407610815         -2.056614041255944        10.902112026862843         -2.4514404020641094       
