#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
52588.700000000186  0.2857590543374948  0.0184234863271524  22.92
52595.0  0.27289777828080497  0.01759429285109789  22.92
