#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5034.68441081083     All      2.5472115457051294        0.5208474963962928        0.7073615848128415        -0.6284871375210024       
Zeropoint     VEGAHST|ACSWF|F775W            3353.90888864178     All      -0.6648253150229156       0.032109266071955744      0.46266554028313517       0.24766115964614363       
Zeropoint     VEGAHST|ACSWF|F850LP           3939.391203877871    All      -0.9019567551697836       0.4459078114150472        -1.1635865631697377       0.3871183086093084        
Check         All|All|All                    All                  All      0.98042947551243          0.9988645738832957        0.006440561926238875      0.00629233073444968       
Lambda        VEGAHST|NICMOS2|F110W_faint    5034.68441081083     All      0.0013902377552719779     0.00028421248721970875    0.00038608516983256044    -0.0003430396090505565    
Lambda        VEGAHST|ACSWF|F775W            3353.90888864178     All      -0.002038409811000416     0.00010426223983677525    0.0014349231728221165     0.0007619728096136225     
Lambda        VEGAHST|ACSWF|F850LP           3939.391203877871    All      -0.0010584142294567537    0.00037533893072378506    -0.0018241712454796684    0.0003856161887784444     
MWEBV         All|All|All                    All                  All      -0.08506378058805386      -1.182550288139339        0.07911416853236383       -0.3539569597597236       
Redshift      All|All|All                    All                  All      3.7325779564188504        0.042244673516478315      -0.1769892883680508       -1.209961177657588        
