#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5034.68441081083     All      2.572572827941017        0.4962265482998163        0.43827686494976037      -0.6567760094928612       
Zeropoint     VEGAHST|ACSWF|F775W            3353.90888864178     All      -0.6378331032466478      0.051205264310993925      0.3586456379747416       0.24044717262546622       
Zeropoint     VEGAHST|ACSWF|F850LP           3939.391203877871    All      -0.9526466463366633      0.45183334377263407       -0.79057650786718        0.4222055402382716        
Check         All|All|All                    All                  All      0.9820930783577061       0.9992651563834443        0.006345995057321918     0.005876703370876646      
Lambda        VEGAHST|NICMOS2|F110W_faint    5034.68441081083     All      0.0015145073516528332    0.0002912132687889547     0.0002642517542688433    -0.0003866747858400804    
Lambda        VEGAHST|ACSWF|F775W            3353.90888864178     All      -0.001994738739084113    0.00016228490536768136    0.0011262037690766742    0.0007528708667150811     
Lambda        VEGAHST|ACSWF|F850LP           3939.391203877871    All      -0.001177137004432145    0.0005384059679836527     -0.001586727506988054    0.000488000424742161      
MWEBV         All|All|All                    All                  All      -0.07409328605220522     -1.1803626595479955       0.05847386851562941      -0.3577389099378336       
Redshift      All|All|All                    All                  All      4.197953064662131        -0.17733525441130382      0.33029519593620327      -1.4104357906287215       
