#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4526.059527249498     All      0.7393822930060011         0.44137579444392117        -0.42913565793891717       -0.11622087416928717       
Zeropoint     AB|SDSS|SDSS_z            6525.533355459672     All      0.13371326466168737        0.006264852161308454       -0.2695116713428203        -0.05354120894929815       
Zeropoint     AB|SDSS|SDSS_g            3463.7299053393435    All      -0.9153168826377178        0.3059690642986723         0.9102567916108084         0.4384335919827592         
Zeropoint     AB|SDSS|SDSS_i            5488.638251429099     All      1.0372218037376495         0.24325723427214285        -0.23193570698369914       -0.2689706062939001        
Check         All|All|All               All                   All      0.9950004787676203         0.9968669451760448         -0.02032624465462818       -0.000299097429726225      
Lambda        AB|SDSS|SDSS_r            4526.059527249498     All      -0.0006543790350745924     -0.00036451205121476615    -0.0027378117104394067     -2.7756749338883532e-05    
Lambda        AB|SDSS|SDSS_z            6525.533355459672     All      -6.173735891776792e-05     -2.2062081602397856e-05    -0.00020146885446681333    3.932913437594996e-06      
Lambda        AB|SDSS|SDSS_g            3463.7299053393435    All      -0.0016861452353518751     2.7964972920477758e-06     -0.0026068065859608173     0.0004338140815528635      
Lambda        AB|SDSS|SDSS_i            5488.638251429099     All      -2.0155498364376506e-05    -2.2545397061021796e-05    -0.000316618790817466      -1.4907711087504278e-05    
MWEBV         All|All|All               All                   All      -0.6804257019689939        -2.621779441893324         0.20587736346748264        -0.623175420563285         
Redshift      All|All|All               All                   All      8.093948972606183          2.214357013659196          11.353664299022059         -1.4085146416876109        
