#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5789.032794733925     All      0.11824797902361295        0.6591614792188949         -6.507661450321364        -0.1142137193806987        
Zeropoint     AB|SDSS|SDSS_u            3369.157430577188     All      -0.6264196770797414        -0.724302515580888         3.645013623022748         0.130776556303899          
Zeropoint     AB|SDSS|SDSS_z            8346.449349693612     All      -0.21621988558583616       -1.1560949126870668        3.835954762460071         -0.13496717415120546       
Zeropoint     AB|SDSS|SDSS_i            7020.2140834995225    All      1.1942049970862747         0.12323611344484675        4.0291742552614345        -0.1690462575474304        
Zeropoint     AB|SDSS|SDSS_g            4430.265641312841     All      0.6179275541689024         2.2318511387073414         -5.109414283592792        0.29769831520723994        
Check         All|All|All               All                   All      1.0877409676132122         1.1338513031031283         -0.10693309316990263      0.010247720431804386       
Lambda        AB|SDSS|SDSS_r            5789.032794733925     All      -2.1814414523307618e-05    -7.617707934199275e-05     0.0006306039823155886     1.0433251061417104e-05     
Lambda        AB|SDSS|SDSS_u            3369.157430577188     All      -0.0003547143185409227     -0.00041144917151113866    0.0019388899421632845     6.804334498571793e-05      
Lambda        AB|SDSS|SDSS_z            8346.449349693612     All      0.00010229784327901874     0.000465292982309207       -0.001454570807194855     5.332864444446029e-05      
Lambda        AB|SDSS|SDSS_i            7020.2140834995225    All      -0.0004252817355693345     -6.11113144526129e-05      -0.001401320513562555     5.6087788520733395e-05     
Lambda        AB|SDSS|SDSS_g            4430.265641312841     All      -4.461746300818061e-05     -0.00016130925744720502    0.00036817796145752207    -2.1580265055160878e-05    
MWEBV         All|All|All               All                   All      -1.3644248352957131        -4.814211369131272         5.097265957557735         -0.8962413998860419        
Redshift      All|All|All               All                   All      4.878958842790273          -0.21249510511811565       5.426829961889318         -1.4162795580226557        
