#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6015.242184886491    All      1.195965121465506          0.15087762145888917       0.7607481509209535         -0.3064706851239239        
Zeropoint     AB|SDSS|SDSS_r            4960.309452445662    All      0.6221356758362553         0.3763549723425186        -0.8059830925478906        -0.11602618474683968       
Zeropoint     AB|SDSS|SDSS_g            3796.055285338794    All      -0.9266277984816712        0.45966974608298017       -0.07450082307931538       0.4482380885351092         
Zeropoint     AB|SDSS|SDSS_z            7151.621535346137    All      0.10736728254224488        0.010928112185304428      0.12174652855954093        -0.025980422131688385      
Check         All|All|All               All                  All      0.9988402813623352         0.9978304520696923        0.0020107638532884664      -0.00023920346734274123    
Lambda        AB|SDSS|SDSS_i            6015.242184886491    All      -3.709898594333829e-05     -3.384891526578037e-05    -0.00023547669413290118    -9.449588409983566e-06     
Lambda        AB|SDSS|SDSS_r            4960.309452445662    All      -0.0002956829390791816     -4.20563336090334e-05     -0.00179192456138489       2.6491663063251488e-06     
Lambda        AB|SDSS|SDSS_g            3796.055285338794    All      -0.0014056142946220905     0.0005805194513905014     -0.0010543585682878285     0.0005998979225267621      
Lambda        AB|SDSS|SDSS_z            7151.621535346137    All      -3.7739966726976986e-05    -6.324137841194385e-06    -7.555212114024257e-05     6.861624850022597e-06      
MWEBV         All|All|All               All                  All      -0.5379686282692768        -3.048339794002075        0.1467696699523291         -0.8111608211561333        
Redshift      All|All|All               All                  All      4.736393475992391          0.5209275534614477        9.156375021680585          -0.9645089721696101        
