#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6015.242184886491    All      1.3073127142653245         0.12622643566206904       0.42098071714949165        -0.36593222161360756       
Zeropoint     AB|SDSS|SDSS_r            4960.309452445662    All      0.5744097021475034         0.35244125757429856       -0.6748695026900096        -0.10241875128395317       
Zeropoint     AB|SDSS|SDSS_g            3796.055285338794    All      -1.0016141148362327        0.5100833717840203        0.13988021602313722        0.49865181635681527        
Zeropoint     AB|SDSS|SDSS_z            7151.621535346137    All      0.11774749533292446        0.010177610699813044      0.11655909561239862        -0.02983755326847323       
Check         All|All|All               All                  All      0.9978557969095198         0.9989286757202009        0.0025505260950179215      0.000463290190781316       
Lambda        AB|SDSS|SDSS_i            6015.242184886491    All      -6.41690295324263e-05      -1.622773807850151e-05    -0.00015915703292850386    8.513608450397314e-06      
Lambda        AB|SDSS|SDSS_r            4960.309452445662    All      -0.0001807720771791154     -9.001107790157622e-05    -0.0017123868348499207     -4.6852116318208454e-05    
Lambda        AB|SDSS|SDSS_g            3796.055285338794    All      -0.0014672825277119385     0.0005897225168334273     -0.0007714454662143276     0.000635608148428014       
Lambda        AB|SDSS|SDSS_z            7151.621535346137    All      -3.2580078951676675e-05    -3.351786927606801e-06    -3.929842283472035e-05     7.76690817449941e-06       
MWEBV         All|All|All               All                  All      -0.5498287110055391        -3.0497846996889066       0.07821659294161849        -0.8108274643160801        
Redshift      All|All|All               All                  All      4.673155353704685          0.4778559492818246        7.166979008602783          -1.0467176808613285        
