#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4854.8087510317355    All      -2.3623561277356933       1.499976019522542         -0.725676835202627         1.225705023073445         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5813.638279571437     All      3.360341822224713         -0.4966430495214169       0.7305054537444854         -1.2237477604505327       
Check         All|All|All                            All                   All      0.9979856944890189        1.003332970001125         0.004828618541858343       0.0019572626229122925     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4854.8087510317355    All      -0.0007761368947257987    -7.279597346701495e-06    -0.0031697248998865724     0.00010899185214809016    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5813.638279571437     All      -0.0006661279226568084    0.00010793437911991232    -0.00018452800412938292    0.00024390292026416784    
MWEBV         All|All|All                            All                   All      -0.3665522534239152       -2.718111401946821        -0.025298247251571725      -0.767109123256147        
Redshift      All|All|All                            All                   All      2.542766107428089         1.7858697152915326        10.030075431946727         0.20105014398701815       
