#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4854.8087510317355    All      -2.2334514850389646        1.553844976253238         -0.08039560051139039      1.23005936938832          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5813.638279571437     All      3.2315038383266996         -0.5499829703621728       0.09169305109820725       -1.227662821071146        
Check         All|All|All                            All                   All      0.998052353287735          1.0038620058910652        0.01129745058681686       0.002396548317173952      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4854.8087510317355    All      -0.0008847970719836078     0.00018122888691927673    -0.0028610036350979846    0.00021956627390699044    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5813.638279571437     All      -0.00025351307599306283    5.9855988981369226e-05    7.170629446803472e-05     0.00010527453658519636    
MWEBV         All|All|All                            All                   All      -0.3686403210768776        -2.7164378750777374       -0.022385775867772573     -0.7657538779461709       
Redshift      All|All|All                            All                   All      0.7962977957262833         1.3190525172785073        7.570801753467643         0.5081285217515608        
