#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4371.326061982494     All      -0.4632141102642602       0.46766492776670887        0.23132299133086015       0.31354081037240944       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6374.941294960478     All      0.9871488902522495        0.0025617246806053373      0.2981258864805815        -0.307408442711337        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5395.089331764513     All      0.5841371148616581        0.3195912188318495         -1.0782285720637992       -0.13428769068486943      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8247.377496505811     All      0.30019333593607994       -0.022335928738304034      0.47674024521771374       -0.08378366484676131      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3658.7622633801852    All      -0.41218480485381603      0.23041319893222223        0.0736728486561552        0.21260299154786041       
Check         All|All|All                                All                   All      0.9960804259319114        0.9978951414730819         0.0016333996215114333     0.0006640036773021274     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4371.326061982494     All      -0.000307400677594527     3.328251047797419e-05      -0.0015159685394220068    4.332100917644503e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6374.941294960478     All      -0.0002520547157638043    -1.5952463039181717e-05    -0.0002601524554918874    6.529686199421303e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5395.089331764513     All      0.0001331063971641226     6.643765660667767e-06      -0.0008642675528042471    -7.976133102203149e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8247.377496505811     All      -4.436745051421535e-05    2.570363060222908e-06      -9.890837544852448e-05    1.0875363562863324e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3658.7622633801852    All      -0.0006608625597313706    0.000222730283196374       -0.0010274337025191756    0.00024196561097153667    
MWEBV         All|All|All                                All                   All      -1.0529430824540218       -3.9729110520577926        0.23608888494540903       -0.9405940691746741       
Redshift      All|All|All                                All                   All      5.710092440032245         -0.5493570908172707        5.860618160421521         -1.7773761703165365       
