#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4730.063381063085     All      1.051390408858528         0.4093433816622749         0.2026609337172136         -0.2000920127938094       
Zeropoint     AB|SDSS|SDSS_i            5736.028580420342     All      0.9201438645452403        0.16097405732651282        -0.31667350271167294       -0.2614182661531683       
Zeropoint     AB|SDSS|SDSS_g            3619.8511947312236    All      -1.2874137465363162       0.3679504573529613         -0.8087791726058224        0.5031144811864104        
Zeropoint     AB|SDSS|SDSS_z            6819.6598345057555    All      0.31420262684123856       0.061147612471934565       0.9227038391869335         -0.04125230892530751      
Check         All|All|All               All                   All      0.9983231537086904        0.9994155088136836         -8.790241334821758e-05     0.00035189331412521785    
Lambda        AB|SDSS|SDSS_r            4730.063381063085     All      -0.0001709165966723709    -8.080066004745933e-05     -0.00020503114269914668    2.0204127060302436e-05    
Lambda        AB|SDSS|SDSS_i            5736.028580420342     All      -9.640970646469625e-05    -2.0118128730212663e-05    7.082798092855802e-05      2.801140427416809e-05     
Lambda        AB|SDSS|SDSS_g            3619.8511947312236    All      -0.001822215153428766     0.0003507657203238844      -0.002810979165940464      0.0005823702697129664     
Lambda        AB|SDSS|SDSS_z            6819.6598345057555    All      1.5293043187018158e-05    3.325744694979311e-06      0.0002171362589476458      5.791651134784571e-06     
MWEBV         All|All|All               All                   All      -0.6136563490838562       -2.821853667315466         0.20793618581387285        -0.7100032771254428       
Redshift      All|All|All               All                   All      5.345649979289952         -0.15655973066053264       4.414711352787215          -1.5952424282145397       
