#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4730.063381063085     All      1.1270090017671472         0.4435709772039331         1.7603934477628556         -0.14405997466439835      
Zeropoint     AB|SDSS|SDSS_i            5736.028580420342     All      0.7841710909109278         0.1633258872153931         -1.9821892443195592        -0.29068571015221967      
Zeropoint     AB|SDSS|SDSS_g            3619.8511947312236    All      -1.1563787616527055        0.3585217767785309         -0.6640078372013618        0.4638213240178013        
Zeropoint     AB|SDSS|SDSS_z            6819.6598345057555    All      0.24536744546235423        0.034099312924062986       0.9000826274493007         -0.02865042754975147      
Check         All|All|All               All                   All      1.0001687764877236         0.9995179541219201         0.014278993691235198       0.00042521165143180953    
Lambda        AB|SDSS|SDSS_r            4730.063381063085     All      -0.0001315352506316768     -4.666256554131015e-05     -0.00046173193931483533    7.040849968805934e-06     
Lambda        AB|SDSS|SDSS_i            5736.028580420342     All      -9.766339874704512e-05     -2.230509246217895e-05     0.00029705924814578833     3.7803069472586054e-05    
Lambda        AB|SDSS|SDSS_g            3619.8511947312236    All      -0.001849209769295315      0.0004954565544874781      -0.003168174760937052      0.0006223538702066505     
Lambda        AB|SDSS|SDSS_z            6819.6598345057555    All      -0.00011342201766002119    -1.7693435370246454e-05    -0.00041217496555934983    1.2788472966822084e-05    
MWEBV         All|All|All               All                   All      -0.6034113844679867        -2.8269095128127475        0.13446782009650637        -0.7182658100949639       
Redshift      All|All|All               All                   All      5.4894937540745605         -0.5896947062264957        2.955149558296097          -1.8483169286040688       
