#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5704.149136470422     All      0.6084537845253074        -0.0075641065787834805    -0.8100372586319959       -0.23680553600543136      
Zeropoint     AB|MEGACAMPSF|i           4951.271079167334     All      1.7786602038719308        0.5338755847104082        1.1617963132841247        -0.35362166913407084      
Zeropoint     AB|MEGACAMPSF|r           4049.196709425397     All      -1.0136862488686782       0.4253363775511332        -0.14211365044956015      0.462395132347955         
Zeropoint     AB|MEGACAMPSF|g           3173.6006551582236    All      -0.38783222013491236      0.04824532766782852       -0.20197377544070028      0.13303164187862052       
Check         All|All|All               All                   All      0.9855955193936474        0.9998931833505864        0.007671628761868332      0.004999569087073302      
Lambda        AB|MEGACAMPSF|z           5704.149136470422     All      5.335999357921231e-06     -6.822942804166737e-06    -6.799097010425935e-05    -6.994692204029806e-06    
Lambda        AB|MEGACAMPSF|i           4951.271079167334     All      -0.000485630826353102     -0.0001581176011365587    -0.0017975406168353573    2.6465850394169177e-05    
Lambda        AB|MEGACAMPSF|r           4049.196709425397     All      -0.0005626007905343967    0.0002595660199871105     -3.58967846838844e-05     0.0002662048700390277     
Lambda        AB|MEGACAMPSF|g           3173.6006551582236    All      -0.001032847889984862     9.36766903992943e-05      -0.0011354862673382767    0.00031627458037746333    
MWEBV         All|All|All               All                   All      -0.3487929914714656       -2.2312192027689193       0.04823330991121644       -0.61101571590867         
Redshift      All|All|All               All                   All      5.3991549401253245        1.1643741107553396        9.930927275440087         -0.9362357630731899       
