#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5704.149136470422     All      0.6787765468700009        -0.012121140022358645      -0.880451320984316         -0.2643386051684726       
Zeropoint     AB|MEGACAMPSF|i           4951.271079167334     All      1.7789205033566213        0.5327401537996934         1.3839989101855779         -0.3441604230819231       
Zeropoint     AB|MEGACAMPSF|r           4049.196709425397     All      -1.0984698588603075       0.433708763306484          -0.2713905105033778        0.48697007238691487       
Zeropoint     AB|MEGACAMPSF|g           3173.6006551582236    All      -0.3749889366698057       0.0459887501923717         -0.22332984840759823       0.12716009694799235       
Check         All|All|All               All                   All      0.9842382546965093        1.0003165272761905         0.008827230290285815       0.005631141084511515      
Lambda        AB|MEGACAMPSF|z           5704.149136470422     All      -7.80833071417607e-06     -5.129078194426068e-07     -7.129822876438461e-06     2.058188000215438e-06     
Lambda        AB|MEGACAMPSF|i           4951.271079167334     All      -0.0004058272383487685    -0.00016634758590467662    -0.0021317808896573615     -1.712518874233442e-05    
Lambda        AB|MEGACAMPSF|r           4049.196709425397     All      -0.0006670661696249506    0.00025450119279223755     -0.00032464553992449734    0.0002856973692011505     
Lambda        AB|MEGACAMPSF|g           3173.6006551582236    All      -0.001064680789667405     9.891458675907868e-05      -0.0011796233578437868     0.00032638012260647714    
MWEBV         All|All|All               All                   All      -0.340121596894325        -2.234051621955757         0.0066332447684884525      -0.6166193063609607       
Redshift      All|All|All               All                   All      5.4205513725418815        1.0708648331641868         10.345217110746388         -0.9551764805229442       
