#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4702.951376371859    All      -0.5526802226383728        0.5221819544065642         0.020487355592019307      0.35103222956385793        
Zeropoint     AB|CNIa02|SDSS_r                      6145.351532868325    All      1.1531454063624196         -0.11386245051330235       0.07922861140896575       -0.4091705332614638        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.567714778806    All      -0.8072987384331933        0.4757886482556817         -0.20054133580899025      0.4089945354016428         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.295414388303    All      0.8030725529966967         0.18538065931563708        0.052688733398245646      -0.19885131505065143       
Zeropoint     AB|CNIa02|SDSS_i                      7452.312831660244    All      0.40219095250548154        -0.07181716372022251       0.04943436566460513       -0.15219400916275347       
Check         All|All|All                           All                  All      0.9984299507930315         0.9976716477443581         0.001297730254845586      -0.00018909250936793853    
Lambda        AB|CNIa02|SDSS_g                      4702.951376371859    All      -5.845947445596686e-05     1.224409292809721e-05      -0.0004142809151056158    4.543023457522706e-06      
Lambda        AB|CNIa02|SDSS_r                      6145.351532868325    All      -5.1373347550733565e-05    -5.0724454159890153e-05    -0.0004918859373727907    -2.1739244309195087e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.567714778806    All      -0.0003608768470449196     0.00010842151840593284     -0.0004960039437129085    0.00013073153914077654     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.295414388303    All      5.963784441561076e-06      -1.973876686769009e-05     -0.0007513077468093236    -4.189958065867378e-05     
Lambda        AB|CNIa02|SDSS_i                      7452.312831660244    All      -6.846068953035591e-05     -1.8174360720545806e-05    -0.0002549493808605478    5.002691736780149e-06      
MWEBV         All|All|All                           All                  All      -0.8991666514885925        -4.084202309985141         0.0074389881417336046     -1.037138930658349         
Redshift      All|All|All                           All                  All      5.066058065882579          0.2159936976626753         1.3549784106172136        -1.5193590638323602        
