#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4702.951376371859    All      -0.5856081780608486        0.5576904697278007         0.003264225907975303       0.372555650403271          
Zeropoint     AB|CNIa02|SDSS_r                      6145.351532868325    All      1.160431520430941          -0.12276110771693993       0.032387723028970944       -0.4165327394439453        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.567714778806    All      -0.7611290059146361        0.46182690870955057        -0.142029868656396         0.3920188347290751         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.295414388303    All      0.7775942801853553         0.17374172129009935        0.05365473099049262        -0.19430028037444902       
Zeropoint     AB|CNIa02|SDSS_i                      7452.312831660244    All      0.4077124892729906         -0.0732269747209191        0.05368226642972703        -0.15426221286418146       
Check         All|All|All                           All                  All      0.9990011059138022         0.9972710172895916         0.0009590777007699031      -0.0005207475502296832     
Lambda        AB|CNIa02|SDSS_g                      4702.951376371859    All      -0.00014435391664035052    4.739355490118876e-05      -0.0003977320561202593     4.470950483813152e-05      
Lambda        AB|CNIa02|SDSS_r                      6145.351532868325    All      -7.752147855899733e-05     -4.746622010183291e-05     -0.0005250033736968279     -1.3638502846677855e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.567714778806    All      -0.00030545184575783983    0.0001062113600969177      -0.0004545687186117131     0.00011380693531105956     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.295414388303    All      0.00011746532689483626     -4.4939417260832045e-05    -0.0007065477275922081     -8.443054815498399e-05     
Lambda        AB|CNIa02|SDSS_i                      7452.312831660244    All      -6.124403955725428e-05     -1.926752757834735e-05     -0.00025313865221034864    2.3767155133840933e-06     
MWEBV         All|All|All                           All                  All      -0.9038723405339568        -4.08355682517163          0.0018075525422591309      -1.035647182390679         
Redshift      All|All|All                           All                  All      4.599671488795279          0.19793397887903907        1.2000731334073258         -1.3802369676349957        
