#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7688.672348392828    All      0.5914082673922012         -0.25735155343094007      0.9028186224960856        -0.23618034838474838      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5272.360039712343    All      0.05315962362819204        0.7696914173317637        -0.6638586770862657       0.20377301463933334       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6408.893154590513    All      1.227871463040846          -0.07519030239002689      -0.5734213430083321       -0.4500392473690601       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4294.23632044696     All      -0.8781065314699121        0.564417121502192         0.3231938922393605        0.4843000704263507        
Check         All|All|All                                      All                  All      0.994332822591327          1.0015666830129888        -0.01126750535915172      0.0018534893118755669     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7688.672348392828    All      -0.00014409299414567603    6.194051888043179e-05     -0.0002636233370900507    5.5347594737710384e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5272.360039712343    All      -0.00015539165290006456    0.00024561127082200075    -0.0020062394044971605    4.10905945622001e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6408.893154590513    All      -0.0003165735232865357     9.70508489655604e-05      -0.0006290029255129762    0.000106661554220462      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4294.23632044696     All      -0.0004823885333799918     0.00016879734619895328    -0.0003850102172338123    0.00019493142665078596    
MWEBV         All|All|All                                      All                  All      -0.7737474410775653        -4.0077625182247445       0.154873668411705         -1.0465138060504156       
Redshift      All|All|All                                      All                  All      6.131437920944633          -0.6523427731666587       5.158699627565879         -1.9794914804999237       
