#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7688.672348392828    All      0.701218119422154          -0.2846486390661873       1.0237743724013204         -0.27544288907796755      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5272.360039712343    All      -0.22864014584093217       0.9533004083870367        -1.0817145897393854        0.3367249691966362        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6408.893154590513    All      1.21198600160613           -0.030925429466854837     -0.7068034228132847        -0.4363985342014348       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4294.23632044696     All      -0.7125998190191918        0.40812301452479716       0.568176958765515          0.39041142569865295       
Check         All|All|All                                      All                  All      0.9719641561681599         1.0458493543787917        -0.19656668138583466       0.015294971615886777      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7688.672348392828    All      -0.0001566407771500741     6.586816967253184e-05     -0.00028935265521469494    5.956600425348299e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5272.360039712343    All      -0.0003379236967331895     0.00043865695906776303    -0.0023867518310379445     0.00014644809607451274    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6408.893154590513    All      -0.00022083578857876436    8.688042756628425e-05     -0.0006446845061500327     7.146398658061698e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4294.23632044696     All      -0.0005172106981717987     0.0002354018272905617     -0.00032387140778273286    0.00023069776631795636    
MWEBV         All|All|All                                      All                  All      -0.7480241896726243        -4.021196002832816        0.17290180644157216        -1.0584639301881749       
Redshift      All|All|All                                      All                  All      6.293667140411146          -1.5896013836293577       5.803082223449662          -2.3088750030709773       
