#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6070.471638418046    All      1.1287309200212483         -0.08439610257982011       -0.059356687372735806      -0.39780419829678615       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4303.483797788321    All      -0.7975892042349129        0.44086749579062           -0.3489168269569132        0.3878355357434644         
Zeropoint     AB|CNIa02|SDSS_i                      7361.507871966633    All      0.4725386123171408         -0.0732875921148235        0.09744773093063319        -0.17344490726204156       
Zeropoint     AB|CNIa02|SDSS_g                      4645.646842890898    All      -0.4434284656931907        0.4656500069426528         0.26523522950434586        0.3079529964423254         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5383.884641437491    All      0.639210883454634          0.24829209506318506        0.048114039662516817       -0.12518800161488083       
Check         All|All|All                           All                  All      0.9994627458649199         0.9971259031018143         0.002523485767846889       -0.0006485749879187597     
Lambda        AB|CNIa02|SDSS_r                      6070.471638418046    All      -0.00013923499362572428    -5.59976944422189e-05      -0.0005184579713451453     3.9767287000718164e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4303.483797788321    All      -0.00044589233577565146    0.00010294938736819597     -0.0006713764058459632     0.00014881536011171026     
Lambda        AB|CNIa02|SDSS_i                      7361.507871966633    All      -6.720455265369047e-05     -4.121534236813309e-05     -0.00038335591009084247    -8.641872767715972e-06     
Lambda        AB|CNIa02|SDSS_g                      4645.646842890898    All      0.0001227974022481379      -0.00010493831458217193    -0.0002653602980743533     -8.602282660146459e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5383.884641437491    All      -6.885388904151737e-05     -1.4988761421822277e-05    -0.0008702230185782036     -2.1288412353589185e-05    
MWEBV         All|All|All                           All                  All      -0.8592843218598283        -4.02476961409155          0.016800224208912695       -1.0303529842068733        
Redshift      All|All|All                           All                  All      4.783763512812358          0.4953736436614342         3.3804615566957463         -1.2460151908415658        
