#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6070.471638418046    All      1.167685322982741          -0.10272727288818118       -0.08507208572913          -0.41761155427225183       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4303.483797788321    All      -0.740304441179803         0.4161781053740654         -0.3360113961095914        0.3617097671944151         
Zeropoint     AB|CNIa02|SDSS_i                      7361.507871966633    All      0.5287082019223576         -0.0860344576640415        0.13629209857374766        -0.19415981826768589       
Zeropoint     AB|CNIa02|SDSS_g                      4645.646842890898    All      -0.4863243200541335        0.5299740102830519         0.3321369362872303         0.34586354742949055        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5383.884641437491    All      0.5290200334405705         0.23965732548454355        -0.04701841522335009       -0.09635316965525273       
Check         All|All|All                           All                  All      0.9987847971117326         0.9970477105894382         0.0003271377989064253      -0.000551227571284757      
Lambda        AB|CNIa02|SDSS_r                      6070.471638418046    All      -8.648261196384616e-05     -3.6892996415802676e-05    -0.00036979683501406953    -3.49365097356367e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4303.483797788321    All      -0.0004320676176555338     0.00013185678623466165     -0.0006307296044385195     0.00015554216549906134     
Lambda        AB|CNIa02|SDSS_i                      7361.507871966633    All      -4.4602486051665134e-05    -5.035240273235097e-05     -0.00038178402326414975    -1.8910204517222917e-05    
Lambda        AB|CNIa02|SDSS_g                      4645.646842890898    All      -7.951316702296097e-05     -5.176189689573438e-06     -0.00021256012758262975    1.4728416890738522e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5383.884641437491    All      6.035059793833944e-05      -3.4483682461487016e-05    -0.0008235768075375287     -6.764309545031528e-05     
MWEBV         All|All|All                           All                  All      -0.8595187789500409        -4.026343295315993         0.008520728934923035       -1.0311586894142892        
Redshift      All|All|All                           All                  All      4.700160204417765          0.02485473311750752        3.1402996231940663         -1.382763655675137         
