#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4997.028229244338    All      0.7404613518571486        0.11294206366496695        -0.30716396446331456       -0.21811099391650024       
Zeropoint     AB|MEGACAMPSF|r           3543.341306827588    All      -1.961495696753035        0.02913169204106225        -0.33429905073352073       0.6334945989718583         
Zeropoint     AB|MEGACAMPSF|i           4335.945450840204    All      2.2239716543083556        0.8576207334654029         0.6427662328161073         -0.41638174167659475       
Check         All|All|All               All                  All      1.002937309412469         0.9996944891714321         0.0013032176192721012      -0.000998136621236656      
Lambda        AB|MEGACAMPSF|z           4997.028229244338    All      8.912092978980872e-05     1.022178657358198e-05      -0.00016942186396948276    -3.326056631271853e-05     
Lambda        AB|MEGACAMPSF|r           3543.341306827588    All      -0.002523815378760736     1.1071013472573483e-05     -0.0012706208025075197     0.0007689939225699607      
Lambda        AB|MEGACAMPSF|i           4335.945450840204    All      -0.0005401651626726674    -0.00019970419921584183    -0.0027365847363490393     -1.1221871473287568e-05    
MWEBV         All|All|All               All                  All      -0.33426768924117334      -1.8413102711974716        -0.04979316337328254       -0.4931153893610547        
Redshift      All|All|All               All                  All      9.040893600032922         1.2287765527107197         -0.7039082713066446        -2.5760757265443686        
