#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3656.0775731234535    All      -1.1989762505622532       0.3755897171433986         -0.5910730808812521        0.48651106046414344        
Zeropoint     AB|SDSS|SDSS_z            6887.908932156699     All      0.23070583960577357       0.03301885840514274        1.139254048889487          -0.013553477688199055      
Zeropoint     AB|SDSS|SDSS_r            4777.400427986735     All      1.2762814319525697        0.4503920833244024         2.0381058761318087         -0.17806802723065454       
Zeropoint     AB|SDSS|SDSS_i            5793.433023488445     All      0.6844148902647006        0.1395650140462834         -2.6372164237096722        -0.29516238640607245       
Check         All|All|All               All                   All      0.9924259112607906        0.9985656729192272         -0.050929579569628736      -0.00027283086078261354    
Lambda        AB|SDSS|SDSS_g            3656.0775731234535    All      -0.0016275602468715147    0.0004556083741530585      -0.0016284313388736367     0.0006058871425403535      
Lambda        AB|SDSS|SDSS_z            6887.908932156699     All      -8.588471824938943e-05    -1.2814946081007294e-05    -0.00041584917036210315    5.2437901722390895e-06     
Lambda        AB|SDSS|SDSS_r            4777.400427986735     All      -0.0002242273694582297    -7.256092743265769e-05     -0.0007557875792452767     1.5675421390543686e-05     
Lambda        AB|SDSS|SDSS_i            5793.433023488445     All      -8.375457694689106e-05    -1.792045632659646e-05     0.0002686609021842936      3.3433441113857596e-05     
MWEBV         All|All|All               All                   All      -0.6149735408648751       -2.8679979439335312        0.047913033954436884       -0.7317460317318888        
Redshift      All|All|All               All                   All      4.539322211265229         -0.6932604662035047        5.223994604046105          -1.4713014386691912        
