#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3656.0775731234535    All      -0.6202687401026004        0.58536198773389          3.443763808787992         0.5463929542802753        
Zeropoint     AB|SDSS|SDSS_z            6887.908932156699     All      0.17793519402664937        0.02923408948483086       0.08471951785935516       -0.04465619889090777      
Zeropoint     AB|SDSS|SDSS_r            4777.400427986735     All      -0.1742226982348063        0.026076884005910017      -7.407646854794336        -0.26532509344172894      
Zeropoint     AB|SDSS|SDSS_i            5793.433023488445     All      1.6062034679215724         0.35432024605555057       3.8102979191886988        -0.2377434550283941       
Check         All|All|All               All                   All      0.9896472236108149         0.9949932072801815        -0.06886560895829064      -0.0013317930807554834    
Lambda        AB|SDSS|SDSS_g            3656.0775731234535    All      -0.0022095903137774385     0.0006039816761451937     -0.0013406065678790984    0.0008566478469456665     
Lambda        AB|SDSS|SDSS_z            6887.908932156699     All      0.00010313587789303672     3.352787845484082e-05     0.0007383051093867665     1.0273550667032938e-05    
Lambda        AB|SDSS|SDSS_r            4777.400427986735     All      0.00038421260412804543     0.00010651291156662654    0.002532103582825941      2.254022745463684e-05     
Lambda        AB|SDSS|SDSS_i            5793.433023488445     All      -3.0077943974162025e-05    -8.229229950769115e-06    -6.898332278594287e-05    4.038436091765061e-06     
MWEBV         All|All|All               All                   All      -0.4483997424007349        -2.853452312669802        0.6615874808222344        -0.7538811353082805       
Redshift      All|All|All               All                   All      7.068767360849236          0.1630267852718248        11.321227943552259        -1.744212490980701        
