#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5222.924873008576    All      0.18510894510794923        0.17077317701836847        0.23847089938819152        0.005972229682932084       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6075.837053297483    All      0.7019060587432697         -0.03433676982869116       -0.015032986894129675      -0.2404893640965657        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4609.123615355286    All      -0.3972224958337283        0.30350112753882996        -0.2021355486612078        0.21922835609315075        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7372.885190632607    All      0.28352052293941915        -0.043413432659455964      0.06986341167079282        -0.10337546195438975       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4231.449932293979    All      -0.3320474563671834        0.24692305350209054        0.16397684591908218        0.1959072761433838         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4280.787547460823    All      -0.4673779835541483        0.2937810228989868         -0.1310019006788969        0.24208851663196293        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6224.675707377208    All      0.5844334616412998         -0.060661663290151324      -0.009957725007569852      -0.21057307272230888       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8043.421748163349    All      0.14744127277161825        -0.025337503284550422      0.0568093832637671         -0.05374458975538521       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5364.616715744844    All      0.29124709445042224        0.14526135239512072        -0.17048021400382982       -0.05516010793935707       
Check         All|All|All                       All                  All      0.9970094198989184         0.9964903642905476         0.0005121649961995767      -0.0001462179165770336     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5222.924873008576    All      3.804605372041064e-05      3.5426873001655784e-05     -0.0002646760440411433     -1.2664429561039574e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6075.837053297483    All      -8.10493300462801e-05      -1.8166272998766194e-05    -0.00023163100792367077    1.0146452430609454e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4609.123615355286    All      -0.00015602116146299266    4.0857667360036325e-05     -0.00036797782236550405    4.77087515175749e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7372.885190632607    All      -1.848823233044599e-05     -2.60669153788186e-05      -0.0001944407676356981     -1.1145624825558064e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4231.449932293979    All      -0.00019509962153684322    0.00010606171431942707     -7.910474575351042e-05     9.456807351401934e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4280.787547460823    All      -0.0002627876552047171     9.880885975459385e-05      -0.00031019109211370775    0.00010394147730935929     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6224.675707377208    All      -0.00016219150014018698    -7.3314177450388095e-06    -0.00022969974092147485    4.019257911690752e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8043.421748163349    All      -6.0582095568098594e-06    -5.050073738925494e-07     -1.4741931388523395e-05    1.150995955273487e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5364.616715744844    All      7.718181465432179e-05      -3.1236616225296647e-06    -0.00048641935848694546    -4.786479752103029e-05     
MWEBV         All|All|All                       All                  All      -0.8384199640704488        -3.9946034399790165        0.021155291919192347       -1.0271287299399474        
Redshift      All|All|All                       All                  All      6.787946940280695          -0.5072364209571134        3.957310185823587          -2.1996846468338687        
