#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5222.924873008576    All      0.22262684362308027        0.13603681665070866        0.3569370662664717         -0.012276758597350168      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6075.837053297483    All      0.7266743377986085         -0.04729297268841748       -0.25289928156382313       -0.2633923492056253        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4609.123615355286    All      -0.4212935646504977        0.29679349282663026        -0.36121937530968484       0.21778501728329028        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7372.885190632607    All      0.3360227379903478         -0.02727011210188479       0.26680579223870016        -0.10643011614186668       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4231.449932293979    All      -0.29005770036393647       0.22877548484849797        0.26812996756817586        0.1809664465046497         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4280.787547460823    All      -0.553378747673798         0.327548880264672          -0.23330168399959827       0.2765359274366531         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6224.675707377208    All      0.5138658637085809         -0.02457315505726143       0.21313125749755635        -0.16587623338393392       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8043.421748163349    All      0.12194887316204155        -0.013744063852350052      0.09074580873047466        -0.040150085087399534      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5364.616715744844    All      0.3401664524503787         0.12017403116857395        -0.34875250825290305       -0.0872219918281604        
Check         All|All|All                       All                  All      0.9965750960448054         0.9964484020591691         -0.0004229568246305604     -6.014301974291425e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5222.924873008576    All      3.4373651985314944e-05     2.6356511529108594e-05     -0.000152935371415455      -9.436249622190125e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6075.837053297483    All      -0.0001758960028880502     -3.745695905394459e-05     -0.0005089729911488822     2.2381024119449105e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4609.123615355286    All      -0.00011235111261016229    -1.2851634680672626e-05    -0.0004486475357807207     1.2389174438935152e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7372.885190632607    All      -6.451606560137397e-05     -2.8495662628344248e-05    -0.00035304859029796243    -4.02190680709809e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4231.449932293979    All      -0.00012390258957433917    5.665582781491689e-05      -9.723481948032733e-05     5.4474673329137205e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4280.787547460823    All      -0.00023349059128517467    5.5681211744782974e-05     -0.00036977942219509706    7.769121243948839e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6224.675707377208    All      -0.00018111267305923192    -6.333409992826222e-06     -0.00026035361009504616    4.531297019002749e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8043.421748163349    All      -3.8118164084879946e-06    7.105009353403609e-07      9.240313298750762e-08      1.4771910661392978e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5364.616715744844    All      3.6615047913097115e-05     -2.7185167995121925e-05    -0.0008004162881334086     -5.6500732046415644e-05    
MWEBV         All|All|All                       All                  All      -0.8464163817146773        -3.9884994166499155        0.03539460916419657        -1.021900317094379         
Redshift      All|All|All                       All                  All      6.601503507635066          0.32954623780572234        5.9629287967195355         -1.7768846985924325        
