#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6534.909175335456     All      0.3352557732503037         -0.057300207532406944      -0.17142885130740923      -0.13551847993870544       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5383.175352111073     All      0.11854661496864724        0.09588292657785047        -0.1648664130960188       -0.014739539734511843      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7878.5437678179105    All      0.11329675140913988        -0.029882846978912525      -0.019261684459243793     -0.04749786617555987       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3631.92577470021      All      -0.10770132250991662       0.05943178424097084        -0.012222201913738821     0.053895330647786725       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4406.154951365699     All      -0.8014003760607562        0.5956604797091369         -0.09874573006813932      0.4506621142509961         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6409.417468883482     All      0.7929184867777164         -0.06840279689934725       0.17814250996150718       -0.27261099668154304       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5402.739716109316     All      0.47237983425454666        0.31939856317517723        0.23836656456533645       -0.039193827926357755      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7945.287262182777     All      0.24782444194515052        -0.045941629456969224      0.09758650158082773       -0.0913344367053897        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4370.521416241828     All      -0.17540630787685846       0.1289933594521564         -0.0462771387807919       0.09708784994008025        
Check         All|All|All                                     All                   All      0.995713896157973          0.9978396322876559         0.0012935564823295248     0.0007501476767954873      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6534.909175335456     All      -4.7612763343513234e-05    9.074300925832139e-07      -3.748967323708978e-05    1.4131631336356726e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5383.175352111073     All      6.06036497045518e-05       5.028645605354658e-05      -0.0002528803749552888    -1.4645539094423385e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7878.5437678179105    All      -1.822019655484626e-06     1.385507268494587e-06      7.2611369465904715e-06    1.3688282363720222e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3631.92577470021      All      -0.00018977249390319335    0.00010101666827116822     -4.271865797347592e-05    9.281325929380956e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4406.154951365699     All      -0.0003799014989444902     0.00012988837451089377     -0.0005865191020808984    0.00013988167963201984     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6409.417468883482     All      -0.00029856483218884753    -2.7092875882803526e-05    -0.0006421773259249251    5.9769922688706604e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5402.739716109316     All      -2.4115942184301805e-05    -5.593677904892269e-07     -0.0008684590305233431    -3.108218657585845e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7945.287262182777     All      5.342749631621667e-05      1.1959038441304825e-06     0.00013226846909541835    -1.1111013747887256e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4370.521416241828     All      -0.0001143086508285759     6.942987379760913e-05      -9.167182230084025e-05    5.575878989282408e-05      
MWEBV         All|All|All                                     All                   All      -0.9078776031799913        -4.072092960022244         0.0012111634877121245     -1.030634992652911         
Redshift      All|All|All                                     All                   All      3.9904666780824942         -0.5215256967880055        -1.179479911968854        -1.522339127951216         
