#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K2_R
@MAGSYS  Linear_AB11_off
51743.46  14.149  0.01
51744.45  13.948  0.01
51745.49  13.755  0.01
51746.49  13.653  0.01
51749.45  13.424  0.035
51750.45  13.377  0.01
51752.45  13.324  0.01
51753.45  13.322  0.01
51754.46  13.334  0.01
51756.44  13.373  0.01
51757.46  13.441  0.01
51758.45  13.513  0.01
51759.46  13.594  0.01
51760.49  13.655  0.01
51761.48  13.792  0.01
51762.49  13.9  0.01
51764.44  14.079  0.01
51766.43  14.18  0.01
51768.48  14.278  0.01
51770.42  14.314  0.01
51772.42  14.32  0.01
51778.42  14.537  0.01
51780.39  14.681  0.01
51783.41  14.904  0.011
51785.44  15.014  0.016
51787.42  15.139  0.011
51789.45  15.244  0.039
51791.37  15.303  0.01
51792.29  15.357  0.011
51794.4  15.455  0.01
51796.35  15.5  0.01
51805.41  15.876  0.01
51810.45  16.074  0.014
51812.36  16.137  0.019
51813.3  16.131  0.014
51817.4  16.299  0.015
51821.37  16.448  0.021
51825.33  16.562  0.014
51836.31  16.929  0.025
51840.37  17.093  0.029
51845.37  17.296  0.067
51849.36  17.415  0.066
51853.31  17.467  0.037
51861.31  17.68  0.044
51865.29  17.803  0.041
51873.2  18.028  0.045
51881.17  18.171  0.071
51889.15  18.582  0.166
51897.17  18.785  0.157
