#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6534.909175335456     All      0.1727294227864482         -0.01598050177146204      -0.08447487039490165       -0.06523875628730025       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5383.175352111073     All      0.07072803746019604        0.06283500365829031       -0.18656816639699425       -0.010896701172082718      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7878.5437678179105    All      0.06297683374223179        -0.009848234050857663     0.011042387088866512       -0.02322874943384845       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3631.92577470021      All      -0.08186002355141163       0.04494851657841359       0.0012740510828612717      0.04136256844566033        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4406.154951365699     All      -0.8500678766436982        0.5299647762857074        -0.49960478927411067       0.42722696964132           
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6409.417468883482     All      0.8369598969051067         -0.02861778680942617      0.31419363165544056        -0.2679261095041491        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5402.739716109316     All      0.6918769213152322         0.3627213316014011        0.5232991229407569         -0.08386436803613923       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7945.287262182777     All      0.22597409185888545        -0.027818288726610962     0.11985439630963768        -0.07731997664204432       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4370.521416241828     All      -0.14151028541889837       0.0983664365054926        -0.07792163484412473       0.07465845535854915        
Check         All|All|All                                     All                   All      0.9878070184540924         1.016571253270948         0.12109412816743159        0.01477333236996542        
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6534.909175335456     All      -3.465303498223885e-05     3.1101953519173257e-06    7.240246539332328e-06      1.2623825443011304e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5383.175352111073     All      2.4006901201532633e-05     3.0060681117451e-05       -0.0002185221636762666     -7.779725246817641e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7878.5437678179105    All      -4.399580853213853e-06     6.2110736892803e-06       2.7003181226537285e-05     4.661267221670932e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3631.92577470021      All      -5.503199849193686e-05     5.677911540530859e-05     5.787831057033138e-05      3.9003401448006794e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4406.154951365699     All      -0.0002709757953535339     -2.193900588756033e-05    -0.0008236354155273461     4.4364409621735244e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6409.417468883482     All      -0.0002721319927144298     1.187253854895169e-06     -0.00030987424405032007    7.520080623271373e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5402.739716109316     All      -0.00024078509739360726    2.758924522813399e-05     -0.0011170464314719027     3.756970081761908e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7945.287262182777     All      3.35974118410878e-05       2.5440296512852043e-06    8.443972977593078e-05      -6.3469508828990474e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4370.521416241828     All      -7.18044951839908e-05      4.343252651064918e-05     -7.597331777055325e-05     3.414614891207628e-05      
MWEBV         All|All|All                                     All                   All      -0.9547962619684078        -4.030767229688514        0.07567311401892596        -0.9985679971008188        
Redshift      All|All|All                                     All                   All      4.414953136502263          0.5049445254778018        2.269248683782177          -1.1723522935981445        
