#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5956.91689288425     All      3.2250309757158506         -0.6486877180702066      0.3609528886921598        -1.2456899505000756      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4974.456763566497    All      -2.2269646536978582        1.6527260388269127       -0.35546753588935187      1.2478800130644723       
Check         All|All|All                            All                  All      0.998066322017993          1.004038320756706        0.00548535280280793       0.0021900625643966887    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5956.91689288425     All      -0.00047977060164715584    0.0001324968542924231    0.00010587813599315533    0.0002041605083291991    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4974.456763566497    All      -0.0006406327022080627     7.086209778049566e-05    -0.0016271681599871178    0.0001591442221727437    
MWEBV         All|All|All                            All                  All      -0.4321610168952228        -2.8007515194261146      -0.015937622778280616     -0.7722390738930021      
Redshift      All|All|All                            All                  All      5.086771867753507          1.0258360221259366       6.6667087392075715        -1.025275813796786       
