#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|PS|PS_r 5845.425852343196 All -0.5108507423982988 1.0101188215571941 -1.5459763915374518 0.4264399994510951
Zeropoint AB|PS|PS_z 8136.735704116156 All 0.14349116085807306 -0.09774234160222228 -0.27658601215393486 -0.09092045150663988
Zeropoint AB|PS|PS_g 4602.9435648716835 All -0.3401347181639671 0.5073218153270478 0.7744709983165832 0.3106055570880739
Zeropoint AB|PS|PS_i 7080.076690235373 All 1.2738719843847637 -0.4941769988638782 1.6797009601242556 -0.5009543816650225
Check All|All|All All All 0.5663776846805708 0.9255212964181414 0.6316095547494522 0.1451707233675067
