#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5845.425852343196     All      0.10463081705218918       0.9829623405787302         -2.915218698152922         0.15600865207804257        
Zeropoint     AB|PS|PS_z                8136.735704116156     All      0.3307955303171785        -0.16462693850529675       -0.07905043890791782       -0.1649030550335049        
Zeropoint     AB|PS|PS_g                4602.9435648716835    All      -0.7688664416198474       0.7600992830194109         0.9304150100664571         0.5395545866509326         
Zeropoint     AB|PS|PS_i                7080.076690235373     All      1.3270670882189615        -0.5855781228374823        2.0922700425407648         -0.5296430668496284        
Check         All|All|All               All                   All      0.9936269939684815        0.992856562255362          0.02841591554638212        0.0010171168458419366      
Lambda        AB|PS|PS_r                5845.425852343196     All      -3.021832807723629e-05    -9.62718318644102e-05      -0.0004863044030531966     -4.3217331272137403e-05    
Lambda        AB|PS|PS_z                8136.735704116156     All      3.473748973369439e-05     -3.5655387558644277e-06    0.0002816550287403336      9.241382666673905e-08      
Lambda        AB|PS|PS_g                4602.9435648716835    All      -0.0002652456962697591    0.00015487524637259066     -0.00019523496841019646    0.00012813477262871428     
Lambda        AB|PS|PS_i                7080.076690235373     All      -0.001001159199544625     0.0004771306655780136      -0.003471003870880374      0.00032663268234919455     
MWEBV         All|All|All               All                   All      -0.6090821301309179       -3.9160418991367685        0.10093736849587565        -1.0726812213426435        
Redshift      All|All|All               All                   All      7.7411666708214835        -3.6941793469888573        27.22195246232958          -2.5100776972218855        
