#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4419.8784189015905    All      -0.5444943093113372        0.37193631290382          0.08357273333144016        0.30224107058031424        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      1.2005129194864748         0.024894084388726867      -1.1678722378019435        -0.43505450543212193       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.6376683596997078        0.29014497069610456       -0.12684715386771914       0.29655871997261724        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      0.748678182344312          -0.072656043227326        0.7416155551806864         -0.234440682251428         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      0.23224536556448422        0.38312856089834924       0.48234400712316405        0.07067241834193437        
Check         All|All|All                              All                   All      0.9992737983842258         0.9974478856596747        0.012812903965628064       -2.2978788684083207e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4419.8784189015905    All      -0.00017979324694523407    3.6756879572973035e-05    -0.000706527370350464      3.900842891862982e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      -0.0002916872387605271     1.5303627699705275e-05    -2.2701667953825353e-05    9.898395372982355e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.0005626749929636587     0.00016952762674327394    -0.0008861144659484461     0.00019895926315048715     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      -0.0005868760162126767     6.7120026638141e-05       -0.0006351879562779388     0.000184682505811316       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      -2.75492353668737e-05      -7.1502749268113e-05      -0.0007470038947221214     -4.76524584619446e-05      
MWEBV         All|All|All                              All                   All      -0.730553094044657         -3.6947687944806518       0.06473821366517808        -0.9626536042879041        
Redshift      All|All|All                              All                   All      6.357425191276905          0.5021889956923431        8.239387113283872          -1.5395570557213913        
