#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4419.8784189015905    All      -0.5646955516574187       0.39147595421180625        -0.04405620917884434       0.3094904902969783        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      1.150298249276438         0.038312980442789524       -1.1277669025338444        -0.4125372425018845       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.5806288847345078       0.26877567457663787        -0.15026534341227027       0.2699733574148745        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      0.7589085657238261        -0.07659574801923696       0.6276942148035314         -0.24414013235015616      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      0.23467473410897785       0.37552454807805447        0.7080251247941316         0.0774753277087533        
Check         All|All|All                              All                   All      0.9985571127173158        0.9974934092900511         0.013630884472703997       0.00026180056856540956    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4419.8784189015905    All      -0.0003037313308332562    5.2611269778127783e-05     -0.0009071681695510461     7.558975940810771e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      -0.0002981280089857896    -2.1683613632951055e-07    1.546809231932555e-05      9.772973990137059e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.0005760522110737819    0.0001973162521153482      -0.0008979793188080923     0.00021183885879883437    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      -0.0006059164530938586    7.430514377460222e-05      -0.0005305480584753492     0.0001978946295952241     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      6.716585031717604e-06     -6.63999222937529e-05      -0.00044960143727746895    -4.38800990985289e-05     
MWEBV         All|All|All                              All                   All      -0.7336658089647377       -3.6952190830412235        0.04697363384478237        -0.9625791160390067       
Redshift      All|All|All                              All                   All      6.237457330296454         0.18368748109374167        6.636095269589992          -1.675773549598985        
