#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U 3628.138739455898 All -1.1193592673407502 0.0408391260181693 -8.948801109523966 -0.021429107050770037
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B 4356.600874659538 All 0.4477122022439439 -2.3654456241622563 -3.6648226207040846 -1.0798822558445147
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R 6291.073943589329 All 1.022714161221964 -0.33903729027586227 5.646559707481284 -0.19158722201071343
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V 5334.008870193176 All -0.3546549814624951 0.2768756153578451 -6.512050732694795 -0.08489262330907063
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I 8156.2121959758315 All 0.7158783287347901 0.16844513649602444 6.879706225477891 0.12869269076602788
Check All|All|All All All 0.7122904433974515 -2.2183230365660798 -6.59940852996367 -1.2490985174490405
