#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U 3628.138739455898 All -0.9009679956421852 0.06197434429170823 -6.462473210378518 0.02527150166515844
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B 4356.600874659538 All 0.7912789491084125 -2.3388671471260363 -1.2067431845679804 -1.0734429682476425
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R 6291.073943589329 All 0.7164429897882285 -0.8340655634952867 -0.38260511726643776 -0.5221255551625463
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V 5334.008870193176 All -0.006186936140267663 0.2860298681302096 -6.23272778946079 -0.18295338856210133
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I 8156.2121959758315 All 0.7503094348345369 0.11661836579341323 9.324645171275126 0.20970205844415915
Check All|All|All All All 1.3508764419487251 -2.708310132405992 -4.959904130398602 -1.5435483518629727
