#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4220.631258049747     All      0.6254594413821501         0.549616294690658          -0.34936775901243194       -0.040295286539477296      
Zeropoint     AB|SDSS|SDSS_z            6085.1762752304385    All      0.19639394690531922        0.04314271991514573        0.07371812752665775        -0.04662926498990925       
Zeropoint     AB|SDSS|SDSS_g            3229.9899327221215    All      -0.8922409541455374        0.09082350241360615        0.08677830964372975        0.32408895276232397        
Zeropoint     AB|SDSS|SDSS_i            5118.253091599731     All      1.0651601765310486         0.3148159229915848         0.18838489911912262        -0.23600505614336936       
Check         All|All|All               All                   All      0.9947726106729804         0.9983984400109946         -0.00048642272292184763    0.0011593450895680535      
Lambda        AB|SDSS|SDSS_r            4220.631258049747     All      -0.00016728598602395396    3.222861459651959e-05      -0.0018252663591005504     -1.6464785204007124e-05    
Lambda        AB|SDSS|SDSS_z            6085.1762752304385    All      -5.22801506045603e-05      -1.1692200316987772e-05    -3.647383979334266e-05     1.1593170760874456e-05     
Lambda        AB|SDSS|SDSS_g            3229.9899327221215    All      -0.002062428991644536      0.00021635065029722896     0.00030513859198880476     0.0007558904329134303      
Lambda        AB|SDSS|SDSS_i            5118.253091599731     All      0.0003403554394516231      9.780339801246522e-05      -0.0005063611623525867     -0.00010160375266497143    
MWEBV         All|All|All               All                   All      -0.7576392815021478        -2.4154649399219963        0.050600141691649336       -0.5377503058658283        
Redshift      All|All|All               All                   All      4.451372054100869          -0.4037648749006806        3.2804184466413124         -1.4350878181797035        
