#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4220.631258049747     All      0.6276166093177143        0.5416976340294255        -1.2851476868305234        -0.08533687569513698       
Zeropoint     AB|SDSS|SDSS_z            6085.1762752304385    All      0.19149605274391016       0.04270934334673626       -0.046995400269711496      -0.05056191505997537       
Zeropoint     AB|SDSS|SDSS_g            3229.9899327221215    All      -0.7213511165757411       0.12834913018782146       0.9632381621941022         0.3197602198645455         
Zeropoint     AB|SDSS|SDSS_i            5118.253091599731     All      0.9300575964969622        0.2867116086493482        0.5214540515205535         -0.18628885432876163       
Check         All|All|All               All                   All      1.0278191419828455        0.9994677162133314        0.15254912661442077        -0.002427425219328483      
Lambda        AB|SDSS|SDSS_r            4220.631258049747     All      -0.0003011218229866258    -9.267326176547143e-05    -0.00186433733206917       -1.5298258394893154e-05    
Lambda        AB|SDSS|SDSS_z            6085.1762752304385    All      -8.543039977200729e-05    -2.080207363133805e-05    -0.00019862011070092083    1.2188068721382112e-05     
Lambda        AB|SDSS|SDSS_g            3229.9899327221215    All      -6.289586678854945e-05    0.0005519365680513652     0.008769407710475855       0.0005916095410993834      
Lambda        AB|SDSS|SDSS_i            5118.253091599731     All      0.0002800733825222462     6.96804306063552e-05      -0.00020798441016281737    -7.781329514924983e-05     
MWEBV         All|All|All               All                   All      -0.9371460656672768       -2.447907465982091        -0.3681036122811676        -0.5085314642336594        
Redshift      All|All|All               All                   All      0.9180052433521988        -0.9036032271035666       -20.49932698988508         -1.5081486215211797        
