#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8579.78351384317      All      0.18322123316141728        -0.05232013131659663       -0.010743314446570729      -0.07720299627270166       
Zeropoint     AB|CNIa02|SDSS_r                      6127.109795087888     All      0.44670408991610805        -0.04316211296391259       0.016640363552711257       -0.1588229553984688        
Zeropoint     AB|PS|PS_i                            7465.589085423684     All      0.2108965335169812         -0.054566540983147505      -0.02929172217107645       -0.08777721186891407       
Zeropoint     AB|PS|PS_g                            4853.575284872349     All      -0.5013533276940625        0.5978463466167039         0.1596093190155412         0.3651681273667412         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.6357668746605    All      -0.6205306691335617        0.39418696799753405        -0.3180257061559333        0.31633489100577616        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.116867198052     All      0.24948460015397933        0.24331419407883637        -0.07187540000288539       -0.0052173732493610014     
Zeropoint     AB|CNIa02|SDSS_i                      7430.191536270414     All      0.21740949975639945        -0.03421758671167119       0.15965724031132833        -0.07483845099199304       
Zeropoint     AB|PS|PS_r                            6163.711122379951     All      0.8093158181731311         -0.053038274623107284      0.0976694038409498         -0.2765385617166216        
Check         All|All|All                           All                   All      0.9951477778503925         0.9980428620946391         0.0036401839440647343      0.0011054688744571717      
Lambda        AB|PS|PS_z                            8579.78351384317      All      0.00017898798693454746     -5.1315228264493176e-05    -9.083417465309232e-06     -7.542268514390489e-05     
Lambda        AB|CNIa02|SDSS_r                      6127.109795087888     All      -3.6837843188608995e-05    -1.5104930180121396e-05    -7.406245223309057e-05     3.774057671841755e-06      
Lambda        AB|PS|PS_i                            7465.589085423684     All      -3.778131890867859e-05     -2.2880206599681087e-06    -9.092062359465916e-05     7.503965086723836e-06      
Lambda        AB|PS|PS_g                            4853.575284872349     All      -4.398919406703152e-05     -0.00011559025828754952    -0.0007730059355592558     -5.781852683782934e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.6357668746605    All      -0.00014837083466591168    1.7491630703436064e-05     -0.0005239920581061919     3.064350273902263e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.116867198052     All      7.0636317507638405e-06     -5.486625671635331e-05     -0.000457457948293363      -4.0586849310523745e-05    
Lambda        AB|CNIa02|SDSS_i                      7430.191536270414     All      -4.4756848409803975e-05    1.0009547629507068e-05     -1.1952588608328189e-05    1.7305827817579833e-05     
Lambda        AB|PS|PS_r                            6163.711122379951     All      -0.00029319226995989104    -1.6527279396278587e-05    -0.0004994297347503947     6.783163417029589e-05      
MWEBV         All|All|All                           All                   All      -0.8199972915007647        -4.090896035750369         0.02080259100202264        -1.0645110062808882        
Redshift      All|All|All                           All                   All      4.407833690380139          1.3940845650810996         2.295886403738645          -0.879222373937083         
