#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8579.78351384317      All      0.18687945969138772       -0.053059004155953104      0.02049518427157489        -0.07724124547300817       
Zeropoint     AB|CNIa02|SDSS_r                      6127.109795087888     All      0.5018739889033362        -0.05011640581100707       0.04580384683279337        -0.17775741618835525       
Zeropoint     AB|PS|PS_i                            7465.589085423684     All      0.21038445220166782       -0.05900551879034488       -0.030001999956617016      -0.08908802768275871       
Zeropoint     AB|PS|PS_g                            4853.575284872349     All      -0.5199726536431876       0.6257467756355606         0.22731478321306814        0.3833425259214783         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.6357668746605    All      -0.5755237176187724       0.3892195931590514         -0.21544778663532332       0.30463419023087446        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.116867198052     All      0.20688813279783877       0.27077200819749514        -0.07850077211558214       0.01730595101622853        
Zeropoint     AB|CNIa02|SDSS_i                      7430.191536270414     All      0.2498711622760788        -0.04793681630284041       0.15167442793423205        -0.09023732311137767       
Zeropoint     AB|PS|PS_r                            6163.711122379951     All      0.7360793524014881        -0.0784514157579963        -0.12140138955635715       -0.2707370548953438        
Check         All|All|All                           All                   All      0.9964801770098377        0.9971692161739654         -6.37060122111871e-05      0.00022159981773772763     
Lambda        AB|PS|PS_z                            8579.78351384317      All      0.00017733424162428958    -4.8524059810303044e-05    3.6138274401522594e-05     -7.195679408520653e-05     
Lambda        AB|CNIa02|SDSS_r                      6127.109795087888     All      -6.79561471141921e-06     -9.883988384888726e-06     -8.427600146214002e-05     -4.766835789505766e-06     
Lambda        AB|PS|PS_i                            7465.589085423684     All      -2.590899773522051e-05    -4.611001913823304e-06     -8.11698434733984e-05      3.315220607668281e-06      
Lambda        AB|PS|PS_g                            4853.575284872349     All      -7.31146000050345e-05     -3.7686674654580585e-05    -0.0006302801662239309     -1.6586468215708345e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.6357668746605    All      -0.0002394621264038464    0.00010058033709286712     -0.00043541297668049585    9.13325360558585e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.116867198052     All      1.2943555795072036e-05    -1.1850416196863899e-05    -0.0003738086749214816     -2.4757576695823752e-05    
Lambda        AB|CNIa02|SDSS_i                      7430.191536270414     All      -3.274269311701854e-05    6.572102819459504e-06      -2.4270269169524092e-05    1.172305181115741e-05      
Lambda        AB|PS|PS_r                            6163.711122379951     All      -0.0001733242872346699    -2.9512237592583992e-05    -0.00041438650826831734    2.8352149188705676e-05     
MWEBV         All|All|All                           All                   All      -0.8088518257772583       -4.098314341734133         0.01851774493355551        -1.0706597996420122        
Redshift      All|All|All                           All                   All      4.298212832480575         0.5235823218407099         1.3612826712217636         -1.1687735454991803        
