#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7254.0322094667345    All      0.5939301385715846         -0.08900147193102725       0.6245106403357588        -0.19458425171876642      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5125.399813389573     All      0.3541015365477593         0.3620072436300248         -0.26260711324240166      -0.0091438004664311       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4583.422307267018     All      -0.5155379142073879        0.3734339717004431         -0.12541246709290174      0.28397080713879597       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4195.711994422417     All      -0.7080251375779377        0.4077074805668879         0.19445657345458509       0.37210852400915434       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5933.025546638178     All      1.2760737787197998         -0.05760939171501889       -0.42318656893991863      -0.45330935842983305      
Check         All|All|All                              All                   All      1.0005424020538176         0.9965378322513097         0.007761064515121818      -0.0009580794670802639    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7254.0322094667345    All      -0.00021715833915047337    3.995859114985657e-05      -0.0003063306050917822    7.008131511490416e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5125.399813389573     All      0.00013034698272035243     -1.7350843903866636e-05    -0.001148106751987072     -9.934477252327296e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4583.422307267018     All      -0.0002046035677325599     3.068173782590148e-05      -0.0011139265448761495    2.6930739058771628e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4195.711994422417     All      -0.00042002399170391934    0.00014326955979330417     -0.0007095777906543141    0.00015181804370605293    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5933.025546638178     All      -0.00013443270988835863    8.067286042810231e-06      -0.0003602660843506107    3.0339916083105924e-05    
MWEBV         All|All|All                              All                   All      -0.789348617852196         -3.872868313342792         0.08807434701343679       -1.0004734560096924       
Redshift      All|All|All                              All                   All      6.176163421307007          0.15552877854725367        10.123854368386503        -1.5093376528634534       
