#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7254.0322094667345    All      0.7182357956276588         -0.12420157152028821      0.9433677828444953         -0.2323113944293978        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5125.399813389573     All      0.25112626552438677        0.44173911972853475       -0.5027683191986876        0.03965263663645857        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4583.422307267018     All      -0.374077175904337         0.22275449028299477       -0.37003999771190177       0.17789452329016325        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4195.711994422417     All      -0.7400642718642508        0.48880680249947517       0.5182294813009136         0.4234099391863033         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5933.025546638178     All      1.1425782862661908         -0.02668303086359458      -0.7739367080455084        -0.4154041192612444        
Check         All|All|All                              All                   All      0.9977988996496489         1.0024158101271219        -0.18514776081068884       -0.006758414577717031      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7254.0322094667345    All      -0.00020663429969046757    4.360758005116133e-05     -0.00031402326764611135    6.749859676681161e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5125.399813389573     All      0.0001225261755391546      3.7025460104340775e-05    -0.0009799934507596008     -7.158300266738736e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4583.422307267018     All      -0.00017646350712711907    3.2107936452804386e-06    -0.0011698056378991607     6.322777974011236e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4195.711994422417     All      -0.000507335866410596      0.0002473665430986844     -0.0005024463209093735     0.00022340953209924958     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5933.025546638178     All      1.6707349244416614e-05     7.96925142552689e-06      -0.00019877217657366278    -1.1716575247388121e-05    
MWEBV         All|All|All                              All                   All      -0.7692390045391462        -3.8766165856314316       0.1042354536658463         -1.007523558286666         
Redshift      All|All|All                              All                   All      5.559970321964549          -0.049271489707791716     7.722182685388268          -1.4825090500892992        
