#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3204.624724992035    All      -1.432047499068097       -0.19994354115659974       -0.15936930772443847      0.39422487386099325        
Zeropoint     AB|MEGACAMPSF|i           3918.604678573051    All      2.1427470676935743       1.0908999430125021         -0.14051130295032188      -0.3488915873567644        
Zeropoint     AB|MEGACAMPSF|z           4514.265529948008    All      0.28805531045277055      0.10861258792367323        0.29496569246312276       -0.04528743409174252       
Check         All|All|All               All                  All      0.9987548790782482       0.9995689897795756         -0.004914918211637587     4.585241248633576e-05      
Lambda        AB|MEGACAMPSF|r           3204.624724992035    All      -0.002310143322435218    -0.00037425768728187726    -0.0017032750742055577    0.0005545722964127621      
Lambda        AB|MEGACAMPSF|i           3918.604678573051    All      0.0012552703003874763    0.0006971389082850293      -0.0010583874472509167    -0.00022903272715824844    
Lambda        AB|MEGACAMPSF|z           4514.265529948008    All      6.34588980094854e-05     1.4133435557366717e-05     -8.14995564354997e-05     -1.9703876769961613e-05    
MWEBV         All|All|All               All                  All      -0.7355705725754837      -1.6608239778229006        -0.00867339015653279      -0.3017725275892058        
Redshift      All|All|All               All                  All      6.374791833230054        1.8789974153904154         5.599932171410426         -1.214528895881567         
