#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      3.090703051165607          -1.0092503872121128       0.8934658339311632       -1.2956184427130784       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -2.0940303407499687        2.011934765991441         -0.8660998417046442      1.2987978594227603        
Check         All|All|All                            All                  All      0.996672710415638          1.0026843787793283        0.02736599222651903      0.003179416709681915      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.0010442158027282793     0.00037779955161047773    -0.002089333587667303    0.00036995982176818784    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.00042768004853274927    0.0001363725024813157     -0.002136665903788295    8.83808867084914e-05      
MWEBV         All|All|All                            All                  All      -0.5331070956639459        -2.9992727987654177       -0.003982140143203583    -0.8034890085671306       
Redshift      All|All|All                            All                  All      6.45777417017881           0.39537385917789436       7.686280664175442        -1.6317198241071271       
