#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      3.0664061418477093         -0.992527457605874        0.654312579527015         -1.2929292430157597       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -2.068098564391194         1.9965556508061866        -0.6470965767560711       1.2951146528279476        
Check         All|All|All                            All                  All      0.9983075774565152         1.0040281932003126        0.007216002770943919      0.002185409812187844      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.0009514246927930936     0.00031603719999720345    -0.0019191891745580674    0.00032720943839603965    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.00044996935342061974    0.0001824113746998504     -0.002071459731532897     0.00011354747390894567    
MWEBV         All|All|All                            All                  All      -0.5321790820282986        -2.9988378460449994       -0.011964361711298395     -0.8040058246160094       
Redshift      All|All|All                            All                  All      6.303753756780665          0.09851185817311148       7.535222081347192         -1.684989079303905        
