#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|MEGACAMPSF|r           3981.0420359426503    All      -1.1822337191023433        0.4305581438350359         -0.5094157770911101       0.5026064825654388       
Zeropoint     AB|MEGACAMPSF|z           5614.4783582908785    All      0.4661917457375223         0.036759219780790886       -0.08075890000538988      -0.1434842004095993      
Zeropoint     AB|MEGACAMPSF|g           3115.8841223072122    All      -0.35073726238298025       0.03111199638965445        0.08773622507327328       0.12829613081683164      
Zeropoint     AB|MEGACAMPSF|i           4872.1262721417       All      2.044499852455351          0.5010062500408807         0.5130281196594172        -0.47987255701014003     
Check         All|All|All               All                   All      0.9777206167075495         0.9994356100463619         0.010589667636190514      0.007545855962531156     
Lambda        AB|MEGACAMPSF|r           3981.0420359426503    All      -0.0008054138306165923     0.0002460413385577577      -0.001270166188364606     0.000285811857123257     
Lambda        AB|MEGACAMPSF|z           5614.4783582908785    All      -1.8860743394281702e-05    -9.13432891808536e-07      6.741484814077821e-06     6.146870984365417e-06    
Lambda        AB|MEGACAMPSF|g           3115.8841223072122    All      -0.0010013403956646853     9.095316016144232e-05      0.0002171131430082975     0.0003654847089310308    
Lambda        AB|MEGACAMPSF|i           4872.1262721417       All      -0.0005154641355569793     -0.00016239454330040638    -0.0012317630898826203    6.003845242431723e-05    
MWEBV         All|All|All               All                   All      -0.3973699957286472        -2.178413650020161         0.08857967188579119       -0.5761916088739938      
Redshift      All|All|All               All                   All      4.13738958844278           0.5538947810315165         1.0824892296502602        -1.1189556296251395      
