#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3981.0420359426503    All      -1.1421116890485166        0.43943274027675727        -0.49676800244548724      0.49299257752125153       
Zeropoint     AB|MEGACAMPSF|z           5614.4783582908785    All      0.4154621787489818         0.033353110603506764       -0.15480522627743418      -0.13137374076400116      
Zeropoint     AB|MEGACAMPSF|g           3115.8841223072122    All      -0.39763059553767705       0.029436779917801914       0.07347706525492714       0.14238883823954526       
Zeropoint     AB|MEGACAMPSF|i           4872.1262721417       All      2.099508737001943          0.4970410286322391         0.5864334081784702        -0.49580662262190683      
Check         All|All|All               All                   All      0.9752286311647315         0.999263659430305          0.008337244710475922      0.008201052374888829      
Lambda        AB|MEGACAMPSF|r           3981.0420359426503    All      -0.0008244283983099319     0.0002996469427543619      -0.0009397867769631254    0.00032420995199359794    
Lambda        AB|MEGACAMPSF|z           5614.4783582908785    All      -3.1097755372926265e-06    -2.2115078335572604e-07    1.624573779843349e-06     1.013417381685811e-06     
Lambda        AB|MEGACAMPSF|g           3115.8841223072122    All      -0.0011213609782710241     8.30814187501672e-05       0.0001702194637244981     0.0003999226265639895     
Lambda        AB|MEGACAMPSF|i           4872.1262721417       All      -0.0004911399664556128     -0.00013332339008486604    -0.001092034764888233     6.782013471695727e-05     
MWEBV         All|All|All               All                   All      -0.37826681097730486       -2.184207546135397         0.07924180112280282       -0.5847181134867324       
Redshift      All|All|All               All                   All      4.069895711253636          0.38865255093742945        0.17286505582448675       -1.1913878331166947       
