#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3819.139236185276    All      -1.170131745794379         0.4949746145770817         -0.3312236527887258       0.5275989315763535        
Zeropoint     AB|SDSS|SDSS_r            4990.473275408365    All      0.9706868277908477         0.42630679118360604        0.6662029474772346        -0.14759290970777217      
Zeropoint     AB|SDSS|SDSS_z            7195.110807125759    All      0.06495200756856642        0.005512546986707889       0.02404834900016084       -0.01828822044587508      
Zeropoint     AB|SDSS|SDSS_i            6051.82109232809     All      1.1306467209669238         0.07165527512782432        -0.3627067051805044       -0.361134288094081        
Check         All|All|All               All                  All      0.996153810531959          0.99844922787522           -0.003679061491834723     0.0005835133286252736     
Lambda        AB|SDSS|SDSS_g            3819.139236185276    All      -0.0013408728477788934     0.0005483224169269857      -0.0005305869176843829    0.0005916953931541103     
Lambda        AB|SDSS|SDSS_r            4990.473275408365    All      -4.8918772190105e-05       -0.00010102870730158985    -0.0009039048460404847    -5.731104202574309e-05    
Lambda        AB|SDSS|SDSS_z            7195.110807125759    All      -2.2991673685566514e-05    -6.619474869855665e-07     5.727485323173725e-06     7.529117813633794e-06     
Lambda        AB|SDSS|SDSS_i            6051.82109232809     All      -0.00011981963070597035    -6.946274300795502e-06     -9.187551499875558e-06    3.6356567377749806e-05    
MWEBV         All|All|All               All                  All      -0.575583869297196         -3.07881186678145          0.008816784921394927      -0.8149902599185743       
Redshift      All|All|All               All                  All      4.7919842025737545         0.8570312875544772         0.656655729900657         -1.252440091212667        
