#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3819.139236185276    All      -1.0829796922427386        0.49197405805792016        -0.38186523933305194       0.49597335912443996        
Zeropoint     AB|SDSS|SDSS_r            4990.473275408365    All      0.7669177165377008         0.45258172860975776        0.6812231254398132         -0.07198971327123406       
Zeropoint     AB|SDSS|SDSS_z            7195.110807125759    All      0.10195947628893957        0.006759867654437812       0.06693942644714457        -0.028022445345681747      
Zeropoint     AB|SDSS|SDSS_i            6051.82109232809     All      1.211635941777518          0.047487530186884896       -0.3643092738709505        -0.39545888668109236       
Check         All|All|All               All                  All      0.9975334423614199         0.9988031845090006         0.0019880386829553287      0.0005023138264317883      
Lambda        AB|SDSS|SDSS_g            3819.139236185276    All      -0.0015921512143130135     0.00060006810574593        -0.0013753028587097389     0.0006527045043699379      
Lambda        AB|SDSS|SDSS_r            4990.473275408365    All      -7.003148239984402e-05     -6.871727643043234e-05     -0.0011290887977050575     -4.9957967203967826e-05    
Lambda        AB|SDSS|SDSS_z            7195.110807125759    All      -2.8216598706319556e-05    -2.8037409898540822e-06    -2.8171805461503567e-05    7.02062552711384e-06       
Lambda        AB|SDSS|SDSS_i            6051.82109232809     All      -9.659583666462253e-05     -3.428304912790601e-05     -0.0003019961721531041     6.82062278558347e-06       
MWEBV         All|All|All               All                  All      -0.5463477655092963        -3.0838564394834123        0.06926118036792205        -0.8234592482943683        
Redshift      All|All|All               All                  All      5.297132877600543          0.6901046674588684         5.551580719713427          -1.252919104736461         
