#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.6261535466187154        0.30759690679804663       -0.13883801039684673       0.2979575394112033        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      1.122490802359679          -0.1072896037024762       4.785889520661901          -0.18700766831644122      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      0.8201681727043801         0.004049047302778774      -4.439258286555137         -0.46394055721812877      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.21465648291933748        0.25668461073902193       -2.0784102811247873        -0.07905996113824476      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.5436947289575801        0.533732806989029         1.81923166076432           0.4321375483619938        
Check         All|All|All                      All                  All      0.9874671824071011         0.9947737681264002        -0.05138539665054953       8.690110038234167e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0005931632653343873     0.00019591482057312195    -0.0008846406761330804     0.0002175512421098623     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.0006622938639300722     7.810749207102167e-05     -0.0029562481163372227     0.00010924930425501448    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      0.0001265754489712887      2.2694107148786092e-07    -0.00030871896051719793    -5.493257507838989e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.0001818653622037389      0.00011336816573266803    -5.646289763088531e-06     -2.256375836111205e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00011307765478690222    0.00016480446525720015    0.0005579527973446501      0.00011541421930955031    
MWEBV         All|All|All                      All                  All      -0.7378046911505649        -3.8055398556556597       0.3278798177582587         -0.9846304981994181       
Redshift      All|All|All                      All                  All      5.325846957794475          -1.4704939815011642       -2.8221918590570327        -2.339733297715457        
