#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.5749965588859257        0.2952222358027612        0.2019867478952068        0.2924726316450587        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.7220467648086837         -0.0764492697396868       2.22519920832693          -0.1607960074943261       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.0461721428264361         0.02002810892474116       -2.374703534099195        -0.44022098308576046      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.41521883219177924        0.2577917655315787        -1.0275771798266533       -0.09713522485226454      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.6071068931836178        0.5000525181216631        1.0135529454021222        0.4058684575978409        
Check         All|All|All                      All                  All      1.0013342877573557         0.9966453586410573        0.038458187698410695      0.0001888738105484955     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0003307052210521547     0.0001366920023907631     -0.0002443668756058109    0.00014134168126544682    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.0005600492391765754     6.136025406812396e-05     -0.001745378919027418     0.00012452527079411828    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.00015813719655327244    1.8080070693239694e-05    7.174705394599203e-06     5.771993546761311e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.00017250289355194833     5.4878474681582004e-05    -8.034065951840834e-05    -4.189937759752061e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.0002180983240900538     1.4403615917871686e-05    -0.0013297904859824474    1.6391089064602664e-05    
MWEBV         All|All|All                      All                  All      -0.7642757731723417        -3.797817662502645        0.1624268200459347        -0.9808760309394171       
Redshift      All|All|All                      All                  All      6.651814889001941          -0.25168212560329195      4.8439654081556025        -2.032532167325054        
