#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6177.704599642626    All      0.5512574089358946         -0.025825594716977207      0.07878620248106948        -0.18445905339184537       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5312.082980950753    All      0.24820055288545168        0.32024874212295273        0.1856010098560769         0.0317509861849458         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7780.442348387548    All      0.2268995813187446         -0.056100520351254346      0.019180260410677843       -0.09132651661033749       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.048121798649    All      -0.5398480441622282        0.3945027791093736         0.00495066194134639        0.30456972767347434        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5361.128304709146    All      0.13392035867036975        0.1207429084832512         -0.05845009391033924       -0.006900688290825738      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7526.438663006193    All      0.19023158786115735        -0.02469497241488483       0.1220437491320321         -0.06456239955861687       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6279.499323822865    All      0.7816013736723552         -0.135914910007795         -0.1967154741202507        -0.30764374711225556       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4392.301888248728    All      -0.5953348032795579        0.4039681977655363         -0.15488295579666975       0.31859414856708484        
Check         All|All|All                                All                  All      0.996928015902187          0.9969266299902024         0.0005133599939430022      2.2457461623937025e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6177.704599642626    All      -8.034292966118561e-05     -1.8144933680339384e-05    -0.0001521077795856822     1.347206194710351e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5312.082980950753    All      4.895834452458771e-05      5.6985561220617956e-05     -0.0005556488404445596     -2.2181327180740857e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7780.442348387548    All      -2.6181797371994437e-05    9.977248733318457e-06      2.561647414527564e-05      1.292133650267611e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.048121798649    All      -0.0003775998162107144     0.00016239362400963846     -0.00039022929694246787    0.00015847948747206345     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5361.128304709146    All      3.5466976032387916e-05     2.623243332675321e-05      -0.00031010527316008746    -1.6846568445787197e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7526.438663006193    All      -3.4165187196768905e-05    -2.838952672731561e-07     -4.5174894921938595e-05    9.020303363254125e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6279.499323822865    All      -0.000196859551275233      -7.752343604511319e-06     -0.0004120358014709034     4.321117357303189e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4392.301888248728    All      -0.00035260933585245873    0.0001812802863564865      -0.00027030357383417284    0.00016184300735949951     
MWEBV         All|All|All                                All                  All      -0.8460990986243049        -4.042681182579866         0.01891175868545059        -1.0403880042396267        
Redshift      All|All|All                                All                  All      5.958290735589606          -0.09186605284750016       2.609552227237054          -1.8542827795783812        
