#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          8006.902889893776    All      0.7577434071037261        -0.3324527037310787        -0.5082952603341818       -0.377795622638628        
Zeropoint     AB|DECam|DECam_i          6832.685838887006    All      0.814033763974394         0.17624089926382425        0.8684954942769854        -0.1689931537441768       
Zeropoint     AB|DECam|DECam_r          5624.187912303989    All      0.02675326795741556       0.39596381401114655        -0.4335315296447449       0.10091750048612409       
Zeropoint     AB|DECam|DECam_g          4231.658048175659    All      -0.6034637247720914       0.7602499518201355         0.07508328013931577       0.4475570312610141        
Check         All|All|All               All                  All      0.9950667142634445        1.0000019613640276         0.0017519844373744126     0.0016857553643334078     
Lambda        AB|DECam|DECam_z          8006.902889893776    All      0.00011114827159471441    0.00011031379274220008     0.0006101973829120128     2.6958489448348992e-05    
Lambda        AB|DECam|DECam_i          6832.685838887006    All      -0.0004469980603408148    -0.00031775749040612955    -0.0013770636369775813    -1.935411997760372e-05    
Lambda        AB|DECam|DECam_r          5624.187912303989    All      3.4512855630014253e-06    4.577247122087264e-05      0.00010896351368328607    1.8647943658788734e-05    
Lambda        AB|DECam|DECam_g          4231.658048175659    All      -0.0006164381219348643    0.0007748040686705033      0.0001372733426318626     0.0004592992307967208     
MWEBV         All|All|All               All                  All      -0.4475309414764377       -3.549895475034326         -0.09935093193041493      -1.0149757691310604       
Redshift      All|All|All               All                  All      -0.1678451607969258       2.3266369434328027         0.12806869076043562       0.8182500048416639        
