#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          8006.902889893776    All      0.580579342349712         -0.1450006592920161        -0.131071893939394        -0.2421944140428095       
Zeropoint     AB|DECam|DECam_i          6832.685838887006    All      0.8617457395058321        0.047251523666425044       0.5469757486997295        -0.24089854666695248      
Zeropoint     AB|DECam|DECam_r          5624.187912303989    All      0.2268119262633602        0.2923201535205422         -0.6393189422692513       -0.007191683333454546     
Zeropoint     AB|DECam|DECam_g          4231.658048175659    All      -0.6730825507549872       0.804676953621275          0.22525661962906618       0.4914070557867897        
Check         All|All|All               All                  All      0.996054457363917         0.9992479715162261         0.0018415321201503687     0.0011224117435731928     
Lambda        AB|DECam|DECam_z          8006.902889893776    All      0.00012653489523335216    0.00010685623194797006     0.0006800992867925282     2.393971954566588e-05     
Lambda        AB|DECam|DECam_i          6832.685838887006    All      -0.000525506390795811     -0.00029432904400160446    -0.0016346038465857326    2.3572051504759405e-06    
Lambda        AB|DECam|DECam_r          5624.187912303989    All      -4.000935477570898e-06    2.240775992201689e-05      8.918391597253426e-05     1.2582049474861558e-05    
Lambda        AB|DECam|DECam_g          4231.658048175659    All      -0.0005457203626791677    0.000648685907689018       0.00023248435453568963    0.0003994321260389496     
MWEBV         All|All|All               All                  All      -0.49004072251733355      -3.506364742431778         -0.021948066879673434     -0.9834954088198566       
Redshift      All|All|All               All                  All      1.0047727716199173        2.2516675851688817         1.1341354907239642        0.456765920448908         
