#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5052.219162967033     All      2.1072085658292568         0.43987109241498956       0.04624552026826212       -0.5410429436930018        
Zeropoint     AB|MEGACAMPSF|z           5819.3465343668195    All      0.20535545706368355        0.012491927938640401      0.034644480656931265      -0.06127597240229432       
Zeropoint     AB|MEGACAMPSF|r           4131.4796238451045    All      -0.8157332056599453        0.4610871316355514        -0.12757978712971685      0.41020909005170214        
Zeropoint     AB|MEGACAMPSF|g           3238.3394978684296    All      -0.5174854336552865        0.08719855972767476       0.05179385172513484       0.1992767918792524         
Check         All|All|All               All                   All      0.9793453835777084         1.000648711716856         0.005104065520611378      0.0071669658356584565      
Lambda        AB|MEGACAMPSF|i           5052.219162967033     All      0.00027868577946549246     4.436746874650662e-06     -0.0007270273018465023    -0.00012177582180580215    
Lambda        AB|MEGACAMPSF|z           5819.3465343668195    All      -3.87369990500689e-05      -1.506194135438618e-06    -4.330763993865321e-06    1.1934035911228252e-05     
Lambda        AB|MEGACAMPSF|r           4131.4796238451045    All      -0.00045859789656347265    0.0001952157701959633     -0.0004328864020975022    0.00019365088914399938     
Lambda        AB|MEGACAMPSF|g           3238.3394978684296    All      -0.0011858355012659954     0.00022034667575855256    0.00035649639323572717    0.0004739485937777989      
MWEBV         All|All|All               All                   All      -0.42519704824150883       -2.291260228204628        0.05138384001064367       -0.6055451445868603        
Redshift      All|All|All               All                   All      6.428146628353354          0.3171796329066723        -0.3367909775641831       -2.005572429763184         
