#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5052.219162967033     All      2.1023097444482017         0.4746441857301775         0.2520633329610269         -0.5189357922157536        
Zeropoint     AB|MEGACAMPSF|z           5819.3465343668195    All      0.178278445869461          0.010464674043753064       0.01419411414636673        -0.05402904826959469       
Zeropoint     AB|MEGACAMPSF|r           4131.4796238451045    All      -0.7434541268223062        0.41966838358931113        -0.3466148379082376        0.3633994389635794         
Zeropoint     AB|MEGACAMPSF|g           3238.3394978684296    All      -0.5556380000524359        0.09583811988083113        0.08469794040427434        0.2159868852666621         
Check         All|All|All               All                   All      0.9814960634429205         1.0006153632440729         0.00434054960343036        0.006421483744893264       
Lambda        AB|MEGACAMPSF|i           5052.219162967033     All      0.00024768063780997336     -5.065846339095171e-07     -0.000834278915930657      -0.00011807277978058077    
Lambda        AB|MEGACAMPSF|z           5819.3465343668195    All      -3.6319509687362535e-05    -2.0816425013669385e-06    -2.7755964389124588e-06    1.1028537613636677e-05     
Lambda        AB|MEGACAMPSF|r           4131.4796238451045    All      -0.000419579469735671      0.00021431493340394936     -0.0003608294830200563     0.00019037809901168492     
Lambda        AB|MEGACAMPSF|g           3238.3394978684296    All      -0.001251119128330377      0.0002137372431562251      0.00017139213029022344     0.0004848003561356231      
MWEBV         All|All|All               All                   All      -0.44481266141968945       -2.286167504538028         0.06046755366160667        -0.5970914619761233        
Redshift      All|All|All               All                   All      6.321675833143384          0.34355598763031736        0.3978861490394958         -1.929514476578064         
