#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7441.693901076234    All      0.6535762006399047         -0.12979339372574117       1.0936776650350977         -0.20636343786835099       
Zeropoint     AB|CNIa02|SDSS_r                      6136.594914243215    All      1.2744442396837767         -0.17159398024215733       0.4094687426475119         -0.4527495121117997        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4350.359965427324    All      -0.9654915080685323        0.7786535286206764         0.19633806049328406        0.576887085008726          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5442.529193353961    All      0.042257404991846825       0.5173953964732192         -1.6443308408673918        0.08138914211157644        
Check         All|All|All                           All                  All      1.004786337246996          0.9946615511259971         0.05515362730850182        -0.0008367228598482601     
Lambda        AB|CNIa02|SDSS_i                      7441.693901076234    All      -3.5365972403189163e-05    3.853435738064147e-06      -0.00010686110144681996    8.006331349524098e-06      
Lambda        AB|CNIa02|SDSS_r                      6136.594914243215    All      0.0003987731570872813      -0.00011441525544726159    8.084209146623926e-05      -0.00016355473811194402    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4350.359965427324    All      -0.000582642996650403      0.00031817873238180984     -0.0008442986184851408     0.0002557501036806999      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5442.529193353961    All      -0.0001658661624294221     0.00012263750925411738     -0.0019328972644010944     7.718809922016142e-06      
MWEBV         All|All|All                           All                  All      -0.8894098108562076        -4.074456330156018         0.16529767096336023        -1.030097960383658         
Redshift      All|All|All                           All                  All      4.372378022093057          -2.202696635079171         6.136073746315462          -1.867893340041371         
