#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7441.693901076234    All      0.452979617257266          -0.08823169211620296      0.521104959499538          -0.15303580779219292      
Zeropoint     AB|CNIa02|SDSS_r                      6136.594914243215    All      1.2176640742874654         -0.17826088994512546      -0.0032645962515108363     -0.4548443693547387       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4350.359965427324    All      -1.0832852953894974        0.7673997546887357        0.2003595839249723         0.6117701345524281        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5442.529193353961    All      0.40955555777909736        0.4978313497771669        -0.7167720531463758        -0.003231915075890527     
Check         All|All|All                           All                  All      0.9969139539343314         0.9987385224045742        0.0014278940266235773      0.0006580423296059421     
Lambda        AB|CNIa02|SDSS_i                      7441.693901076234    All      -8.748139284221623e-05     1.7846994821046387e-05    -0.00011153900649741502    2.9331447483099922e-05    
Lambda        AB|CNIa02|SDSS_r                      6136.594914243215    All      -0.00022300564061414227    -5.524843214570082e-07    -0.00043864117519587043    5.288577045304593e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4350.359965427324    All      -0.00026509681824427657    1.3383401967028958e-05    -0.0012763482968624507     3.3752607016661164e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5442.529193353961    All      -5.730020733374426e-05     -6.225887413797641e-05    -0.0012330768895384323     -5.664175917622065e-05    
MWEBV         All|All|All                           All                  All      -0.9060308596710187        -4.065349565401499        0.10613967602931194        -1.0243575146952655       
Redshift      All|All|All                           All                  All      5.192150612709539          -0.5097345388035635       2.7547433139358715         -1.7343600382748823       
