#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_r 6180.280312783272 All 0.2156924807233695 -0.3368653651835287 -0.8181982796426417 -0.2164987003967232
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5481.273653465825 All 0.8283021095363579 2.5603478209444313 0.8902091835611343 0.6039102180964003
Zeropoint AB|CNIa02|SDSS_i 7494.670082236096 All 0.316846627208966 -0.30008661775975565 -0.5221332327596571 -0.22425586249406992
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4381.3294544580085 All -1.0791230103869718 0.18207064082137236 -1.1004236678941912 0.361705410002228
Check All|All|All All All 0.2817182070817217 2.1054664788225192 -1.5505459967353556 0.5248610652078352
