#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_r 6180.280312783272 All -0.045190318675728536 -0.7269820270373297 -2.7210348588594826 -0.34350927818415317
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5481.273653465825 All 33463.57792490158 12.536599729085934 244180.96743267198 0.5704277210312576
Zeropoint AB|CNIa02|SDSS_i 7494.670082236096 All 0.5002137198734532 -0.15747694352336672 0.5965161446799534 -0.18761171061096624
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4381.3294544580085 All -1.0562299894887952 0.11739117758355011 -1.694151535536092 0.3066848230305866
Check All|All|All All All 33462.976718313286 11.769531936108788 244177.14876242224 0.34599155526672476
